Metodo,Patch,PPG_BPM,ECG_BPM,PPG_iRPM,PRE_iRPM,SQI1,SQI2
CHROM,10,64.8521,65.2972,10.3448,6.0,0.6591237874614897,-0.0034281926595814095
CHROM,101,65.0523,65.2972,8.2759,6.0,0.7065902914604103,0.01176209308986863
CHROM,104,65.3726,65.2972,20.6897,6.0,0.3577887425481071,0.004752649499926751
CHROM,107,65.0723,65.2972,10.3448,6.0,0.6641733424005918,0.011516493525282294
CHROM,108,64.9321,65.2972,8.2759,6.0,0.6685263446825029,-0.013496452338158384
CHROM,109,65.0122,65.2972,8.2759,6.0,0.6843338632361852,-0.011812950732572809
CHROM,135,59.7264,65.2972,10.3448,6.0,0.4049029181073528,-0.002299203872109344
CHROM,151,65.0323,65.2972,10.3448,6.0,0.6135909568117272,-0.011715863129420719
CHROM,18,65.2925,65.2972,8.2759,6.0,0.46080295342025146,-0.013419093344786774
CHROM,188,65.1324,65.2972,10.3448,6.0,0.664289045212664,0.003560712427903614
CHROM,199,62.2892,65.2972,8.2759,6.0,0.3627274378201575,-0.021562047382589673
CHROM,266,64.9722,65.2972,8.2759,6.0,0.6149896976614826,0.0008773806360052471
CHROM,280,65.0122,65.2972,16.5517,6.0,0.6492442496119095,-0.005825247204354852
CHROM,299,57.0033,65.2972,8.2759,6.0,0.5764803768532356,-0.015580524676185136
CHROM,330,64.8721,65.2972,12.4138,6.0,0.6777904209249039,-0.005942367176236863
CHROM,333,65.0723,65.2972,10.3448,6.0,0.6883735779153406,-0.01571387876086126
CHROM,336,64.9321,65.2972,10.3448,6.0,0.7248949276264189,0.00029550950795083814
CHROM,337,64.8721,65.2972,10.3448,6.0,0.7088975060806665,-0.011152652194088609
CHROM,338,64.772,65.2972,10.3448,6.0,0.6312295472771161,0.0017590712734332414
CHROM,347,64.6719,65.2972,8.2759,6.0,0.6101556271199517,-0.005540322083352728
CHROM,36,64.9522,65.2972,10.3448,6.0,0.73182257675463,-0.0007258175603042043
CHROM,364,51.4972,65.2972,8.2759,6.0,0.4384900484250722,-0.016569480971079055
CHROM,4,65.0923,65.2972,10.3448,6.0,0.6873262922896808,0.008059107364674892
CHROM,50,64.8721,65.2972,10.3448,6.0,0.6895431061538417,0.0032776098199478933
CHROM,6,65.0323,65.2972,10.3448,6.0,0.6839941106587986,0.0029116572409172755
CHROM,69,65.1123,65.2972,12.4138,6.0,0.6500929060726628,-0.006508434793147746
CHROM,9,65.0723,65.2972,8.2759,6.0,0.75102236727107,-0.0002338425291649031
GBGR,10,64.7319,65.2972,10.3448,6.0,0.650247948973014,0.003636611343336957
GBGR,101,65.0523,65.2972,10.3448,6.0,0.6992655681078517,-0.017231569254279176
GBGR,104,40.6852,65.2972,12.4138,6.0,0.4673020185348451,-0.016114507407120476
GBGR,107,65.1324,65.2972,10.3448,6.0,0.6575541125813791,-0.013807915238341989
GBGR,108,64.9922,65.2972,10.3448,6.0,0.6478807474466735,-0.013903889867759334
GBGR,109,64.8721,65.2972,10.3448,6.0,0.6372644521068772,0.00275927155100391
GBGR,135,117.931,65.2972,8.2759,6.0,0.3026919237055278,0.004117133420772936
GBGR,151,64.9922,65.2972,10.3448,6.0,0.6960045934612673,0.0012216354640077437
GBGR,18,65.2525,65.2972,20.6897,6.0,0.5122869663972852,0.006584955933795622
GBGR,188,65.0923,65.2972,10.3448,6.0,0.6104943934596796,0.005723458687884774
GBGR,199,62.3092,65.2972,8.2759,6.0,0.3780233427345686,0.020952569147585056
GBGR,266,65.0523,65.2972,8.2759,6.0,0.6408333910434815,-0.004558568191541112
GBGR,280,65.0723,65.2972,8.2759,6.0,0.5679453553245851,0.010286385858021566
GBGR,299,64.7119,65.2972,10.3448,6.0,0.5691561459555879,-0.0008508984575625224
GBGR,330,64.8921,65.2972,12.4138,6.0,0.6575449752248262,0.008207867041685357
GBGR,333,65.2325,65.2972,10.3448,6.0,0.690905248126381,0.005693677872557713
GBGR,336,64.9522,65.2972,8.2759,6.0,0.7101413786888169,-0.006578096645775339
GBGR,337,65.0923,65.2972,10.3448,6.0,0.7094249616515949,-0.0038423326433722474
GBGR,338,64.832,65.2972,10.3448,6.0,0.6222373141122368,-0.0017341346277412162
GBGR,347,64.9121,65.2972,8.2759,6.0,0.6002381289993584,0.0012485399309213286
GBGR,36,65.0122,65.2972,10.3448,6.0,0.7467960317470281,-0.010427078694927717
GBGR,364,51.7175,65.2972,8.2759,6.0,0.4344936519720809,0.006262647169994526
GBGR,4,65.0122,65.2972,10.3448,6.0,0.6891914707822935,-0.001583500790510898
GBGR,50,64.8521,65.2972,10.3448,6.0,0.6747134674272539,-0.013293273670858377
GBGR,6,65.0723,65.2972,10.3448,6.0,0.6881943271802811,-0.002418870582092187
GBGR,69,64.9722,65.2972,16.5517,6.0,0.5749617675971028,-0.011951842190557092
GBGR,9,65.0523,65.2972,8.2759,6.0,0.7488557649504627,0.0014341867712080521
GREEN,10,64.8721,65.2972,22.7586,6.0,0.6334321135761141,0.014444028641346843
GREEN,101,65.0323,65.2972,8.2759,6.0,0.7024577400761833,0.0029036702139511247
GREEN,104,59.7264,65.2972,12.4138,6.0,0.5429529271870057,0.025504432190987244
GREEN,107,56.723,65.2972,8.2759,6.0,0.33056299464680194,0.02701846851228948
GREEN,108,59.7464,65.2972,8.2759,6.0,0.5591713141985133,0.03565189438119191
GREEN,109,56.9032,65.2972,8.2759,6.0,0.548417537908207,0.0297497058041693
GREEN,135,46.6518,65.2972,8.2759,6.0,0.3467474830532622,-0.03462383077795451
GREEN,151,64.9522,65.2972,22.7586,6.0,0.5930705461058041,0.019704143473133005
GREEN,18,62.2291,65.2972,12.4138,6.0,0.5338663292549785,0.01905804485450961
GREEN,188,59.6463,65.2972,8.2759,6.0,0.5174802846373268,-0.0036915892803572998
GREEN,199,62.1891,65.2972,20.6897,6.0,0.434876478048556,0.012523930456631915
GREEN,266,64.9121,65.2972,8.2759,6.0,0.5564649148666261,-0.005493230680911039
GREEN,280,64.9321,65.2972,14.4828,6.0,0.6233664097939745,-0.002040934592381919
GREEN,299,56.9633,65.2972,14.4828,6.0,0.602869695676927,0.030117384556852873
GREEN,330,64.9321,65.2972,12.4138,6.0,0.7045887402142015,0.010456961918148825
GREEN,333,65.0122,65.2972,14.4828,6.0,0.5801968737913934,0.01724727130738875
GREEN,336,61.7086,65.2972,8.2759,6.0,0.3961528189461513,-0.026643822578729586
GREEN,337,64.8521,65.2972,22.7586,6.0,0.674138305786107,0.016691264497368328
GREEN,338,64.792,65.2972,8.2759,6.0,0.6719471935302042,0.0019376764422987377
GREEN,347,56.6229,65.2972,12.4138,6.0,0.46372404022184666,0.030755108309552533
GREEN,36,64.7119,65.2972,10.3448,6.0,0.6810515881050463,0.022339931045609187
GREEN,364,84.8142,65.2972,10.3448,6.0,0.27467333082736267,0.00039453657046908464
GREEN,4,59.426,65.2972,10.3448,6.0,0.4770980966368972,0.027738116105528534
GREEN,50,59.6663,65.2972,8.2759,6.0,0.5930889100724909,0.004799908802873726
GREEN,6,59.6863,65.2972,18.6207,6.0,0.53661555752312,0.011005871988144404
GREEN,69,59.7664,65.2972,12.4138,6.0,0.5341636595539417,0.02588378313243804
GREEN,9,65.0122,65.2972,14.4828,6.0,0.6331509008246077,0.00155376394587464
ICA,10,39.7241,65.2972,10.3448,6.0,0.3142837805769456,-0.011778068286119561
ICA,101,65.0523,65.2972,8.2759,6.0,0.7291314188570954,0.009322047601725197
ICA,104,47.9933,65.2972,20.6897,6.0,0.24247304365214628,-0.008336177573600318
ICA,107,65.0723,65.2972,8.2759,6.0,0.6183124585114719,0.03253232969427063
ICA,108,64.792,65.2972,20.6897,6.0,0.4466849419316551,-0.01247985710523713
ICA,109,37.3615,65.2972,20.6897,6.0,0.48198387577535673,-0.0152749632772879
ICA,135,39.8643,65.2972,8.2759,6.0,0.29268499521025193,-0.022786968029379868
ICA,151,65.0523,65.2972,10.3448,6.0,0.5324583302397545,0.015107742615820917
ICA,18,62.1891,65.2972,12.4138,6.0,0.4689790177325268,0.020844811388842747
ICA,188,59.5862,65.2972,10.3448,6.0,0.5249556185650301,-0.008140944486122514
ICA,199,55.8821,65.2972,8.2759,6.0,0.32612896401611835,0.017073616358781726
ICA,266,65.0723,65.2972,10.3448,6.0,0.6307538431417818,0.004892116908673205
ICA,280,52.9789,65.2972,18.6207,6.0,0.4260589678051665,0.0005074743189577536
ICA,299,64.7119,65.2972,10.3448,6.0,0.5619169689288472,-0.012764897248215445
ICA,330,64.9321,65.2972,8.2759,6.0,0.5308655189079771,-0.009440680890835098
ICA,333,79.1279,65.2972,12.4138,6.0,0.4272648696084246,0.017550277328627916
ICA,336,64.9321,65.2972,8.2759,6.0,0.6801746158689039,0.005035874864566229
ICA,337,64.9121,65.2972,10.3448,6.0,0.7099236765301998,-0.012366360712078412
ICA,338,57.624,65.2972,10.3448,6.0,0.535518730668707,-0.003398738018717314
ICA,347,64.3515,65.2972,8.2759,6.0,0.423582320705712,-0.019612057563381306
ICA,36,64.9922,65.2972,12.4138,6.0,0.5333691983154274,0.002610102154346304
ICA,364,48.3737,65.2972,8.2759,6.0,0.45911995793045846,0.026308008844088963
ICA,4,59.386,65.2972,8.2759,6.0,0.48543168526061964,0.01698779604919321
ICA,50,64.8921,65.2972,10.3448,6.0,0.6885358151135796,0.0045349151825563845
