Metodo,Patch,PPG_BPM,ECG_BPM,PPG_iRPM,PRE_iRPM,SQI1,SQI2,SQI3,SQI4
CHROM,10,65.5033,63.9998,10.2623,8.0,0.5697903833946965,-0.017413298692136238,0.13237949895977488,0.00022378106660834028
CHROM,101,59.1656,63.9998,8.2098,8.0,0.5220819670474237,0.015727021911822233,0.12948941204985795,0.00013967391518835735
CHROM,104,74.1854,63.9998,8.2098,8.0,0.4659807717288045,0.009210840440735635,0.14403263700471067,5.706573221271961e-05
CHROM,107,65.9404,63.9998,8.2098,8.0,0.49690628537334314,0.0018420895085701403,0.11827808444847028,0.00011200573385595189
CHROM,108,65.5232,63.9998,12.3147,8.0,0.6146231902046475,0.009266539749552561,0.1207786311652233,1.2626276331263614e-05
CHROM,109,65.2649,63.9998,8.2098,8.0,0.545051300293824,-0.00209240853281408,0.11536562730297746,0.00027947314946786064
CHROM,135,53.7616,63.9998,10.2623,8.0,0.27824987843278304,-0.006074256865467093,0.13810604658659298,0.00010402696284394006
CHROM,151,65.404,63.9998,8.2098,8.0,0.6274624732697505,-0.0025316956150673925,0.12815888652594334,0.00013946903178818106
CHROM,18,43.2517,63.9998,8.2098,8.0,0.3469669988853379,-0.02701575448033813,0.10946617299499393,1.6549196330198843e-05
CHROM,188,54.2583,63.9998,8.2098,8.0,0.5032763806755847,0.003865306996460532,0.11983736860821069,6.582436938926235e-05
CHROM,199,55.0927,63.9998,8.2098,8.0,0.4304467505243261,-0.021764552297306904,0.08856216377074,1.5258249748810934e-05
CHROM,266,56.6821,63.9998,8.2098,8.0,0.5049328037453891,0.014948156322087458,0.11271063483240584,6.262539327379949e-05
CHROM,280,54.4371,63.9998,8.2098,8.0,0.49872040646425764,0.006461603356067356,0.11094744968471693,0.0001253037690046306
CHROM,299,65.5232,63.9998,8.2098,8.0,0.569264398775596,0.007561637675926857,0.1559802108052004,3.249704312442918e-05
CHROM,330,65.7219,63.9998,8.2098,8.0,0.6155889388354143,0.009439519362445583,0.1175526057615646,1.9074908772412542e-06
CHROM,333,65.5629,63.9998,8.2098,8.0,0.5550099151465543,0.00534910163871044,0.13562484937543773,0.0002559319167079895
CHROM,336,53.9603,63.9998,8.2098,8.0,0.46614903509871486,0.001267407038446564,0.11587603349261115,9.965034303668225e-06
CHROM,337,65.9404,63.9998,8.2098,8.0,0.638090215818838,0.0030454398236782142,0.1377363868437273,5.616050427371452e-05
CHROM,338,65.5033,63.9998,8.2098,8.0,0.5098174958987158,-0.003573307330507555,0.10935792632688102,0.0001424209202391587
CHROM,347,65.8212,63.9998,8.2098,8.0,0.5274930847334898,0.0008968349869582739,0.09291982360806655,4.868245423777283e-05
CHROM,36,56.6026,63.9998,8.2098,8.0,0.5123613005750116,0.013771927027250842,0.1322375715899126,2.6746961517147455e-05
CHROM,364,44.702,63.9998,10.2623,8.0,0.3541021325219389,-0.017349812461356695,0.09472497461925082,3.8286935272890905e-05
CHROM,4,74.5232,63.9998,8.2098,8.0,0.54794167564328,0.010370296894772629,0.10587319441213316,2.1091599899749703e-05
CHROM,50,65.4834,63.9998,8.2098,8.0,0.5891255854693622,-0.004957061634339971,0.13761349290171684,1.5183182615556432e-05
CHROM,6,65.702,63.9998,8.2098,8.0,0.525817461226542,-0.0037929624252594518,0.14026736114964855,7.405261630448484e-05
CHROM,69,65.8212,63.9998,8.2098,8.0,0.6725451372873561,0.01406063008746703,0.13520428870352916,5.545386447423068e-05
CHROM,9,57.0596,63.9998,8.2098,8.0,0.5616341618732443,0.004497245681153424,0.12794673111524774,0.0001425867418066853
GBGR,10,65.4834,63.9998,10.2623,8.0,0.47663752029165596,0.015553137582167044,0.12422840812155346,3.9730339462796645e-05
GBGR,101,64.9272,63.9998,8.2098,8.0,0.5668554899036955,-0.00652472019734851,0.1156607618951476,3.315750957005926e-05
GBGR,104,74.2848,63.9998,8.2098,8.0,0.4360021177678116,-0.0014008441787827831,0.13732743559593538,4.027289659873595e-05
GBGR,107,66.0993,63.9998,8.2098,8.0,0.513564278921202,-0.009227890906934847,0.11459270966777572,4.728381993847051e-05
GBGR,108,58.947,63.9998,8.2098,8.0,0.4969855914833101,-0.00916230299652511,0.10511379199349521,8.030676107328048e-06
GBGR,109,65.1854,63.9998,8.2098,8.0,0.42399010159797645,0.005078136481558246,0.09399470561967595,8.933721092633215e-05
GBGR,135,103.2119,63.9998,10.2623,8.0,0.28697883058176143,0.0015680285342446598,0.13209945110157506,0.0001029755293032735
GBGR,151,74.3245,63.9998,8.2098,8.0,0.527736510293342,-0.00023966291811281589,0.10795763227389917,0.00031700504765134997
GBGR,18,43.2517,63.9998,8.2098,8.0,0.353497366918052,0.02850092315314579,0.11490718013700464,5.592270485417265e-05
GBGR,188,65.8212,63.9998,8.2098,8.0,0.4818255324168056,-0.0055438620098345725,0.11864527825116994,2.418193408469744e-05
GBGR,199,54.9338,63.9998,8.2098,8.0,0.4375883374728309,0.013606842668219182,0.10348446623665353,8.606104812108777e-06
GBGR,266,65.4437,63.9998,8.2098,8.0,0.554296268870502,-0.002526866062597434,0.10726071089284091,3.1496966862372884e-05
GBGR,280,59.1656,63.9998,8.2098,8.0,0.513799525265797,-0.0163185117220412,0.10488809508921405,5.177395279134228e-05
GBGR,299,65.404,63.9998,8.2098,8.0,0.4252861513110243,-0.0038493288165738116,0.11501495708869164,0.00010128864750140724
GBGR,330,65.3046,63.9998,8.2098,8.0,0.625940978218579,0.003817709545109743,0.10671350204202158,0.00011770522892371599
GBGR,333,65.4238,63.9998,8.2098,8.0,0.505330256591439,-0.0003364315685760287,0.1426117440472186,4.044821815172497e-05
GBGR,336,65.9205,63.9998,8.2098,8.0,0.5064909471901894,-0.005412099461279454,0.11572186189744996,4.685059871014998e-05
GBGR,337,56.7815,63.9998,8.2098,8.0,0.50596308598833,-0.0011308442429612594,0.1374004559485232,7.3389819624127125e-06
GBGR,338,74.3841,63.9998,12.3147,8.0,0.4635248506829438,0.004880869342975796,0.13939878803397318,2.451790151127633e-05
GBGR,347,65.3642,63.9998,8.2098,8.0,0.4731325338382484,0.008658206844175915,0.1111969197586216,3.86122448127271e-05
GBGR,36,65.3841,63.9998,8.2098,8.0,0.602276840873213,-0.004443856737583377,0.11225740449348529,0.0002102655190035245
GBGR,364,76.4106,63.9998,10.2623,8.0,0.32470467703669514,0.01762991012960961,0.10344096985952256,7.554550439202604e-05
GBGR,4,74.404,63.9998,8.2098,8.0,0.5356805079567637,-0.002583677159139309,0.09563603013779853,0.0005142754917274273
GBGR,50,65.8411,63.9998,8.2098,8.0,0.5795750525943736,-0.003920461499774233,0.1031554414899294,3.571945530980454e-05
GBGR,6,65.6424,63.9998,8.2098,8.0,0.5816398675782551,-0.0011437247721783265,0.10892494991177476,4.39556374802075e-05
GBGR,69,65.8609,63.9998,8.2098,8.0,0.5857566242410146,-0.010824602449596864,0.12987054923112173,6.572070933442072e-05
GBGR,9,65.9801,63.9998,8.2098,8.0,0.5696274386742253,-0.011352533835909333,0.11354356932758654,1.0075982319673974e-05
GREEN,10,65.3642,63.9998,8.2098,8.0,0.6470703434666345,0.013851159639672766,0.13848861573085283,1.8459961638073513e-05
GREEN,101,65.2649,63.9998,8.2098,8.0,0.5798457283760825,0.001969910006959758,0.13040213963655212,0.00015542622022425332
GREEN,104,65.1258,63.9998,8.2098,8.0,0.4122917848231171,-0.003174513144141795,0.12408380814302515,0.00010699885751640692
GREEN,107,136.8079,63.9998,8.2098,8.0,0.3732446153637038,0.025727559719245893,0.13898880816243125,1.753742173419068e-05
GREEN,108,65.3046,63.9998,10.2623,8.0,0.6176358263630786,0.0016640081195952695,0.1213110651686708,2.9766767154079783e-05
GREEN,109,65.3642,63.9998,8.2098,8.0,0.6350408207781536,0.002697381596122507,0.14620844767096897,8.296287664428456e-05
GREEN,135,56.5033,63.9998,10.2623,8.0,0.4421475704733985,-0.009938828947752913,0.12392710696993073,5.571360779968519e-05
GREEN,151,65.3444,63.9998,8.2098,8.0,0.7100415137894094,0.0025324885246563273,0.12639296348283177,5.246715871291803e-06
GREEN,18,43.1921,63.9998,12.3147,8.0,0.3323037113805183,0.03856364835812766,0.13920995344793244,3.632595457436958e-05
GREEN,188,58.9868,63.9998,8.2098,8.0,0.5132041812378028,0.002282172056010901,0.1163930846984952,9.002404939652843e-05
GREEN,199,40.9868,63.9998,12.3147,8.0,0.4060759792905124,0.024403655667727227,0.1133392194692211,3.06669222135925e-05
GREEN,266,56.8013,63.9998,8.2098,8.0,0.5000465488854824,-0.001550450910676819,0.09568719593083022,1.9219250839426958e-05
GREEN,280,65.0464,63.9998,8.2098,8.0,0.5665778392118559,0.007020363928334341,0.1253511309214585,0.00010699597073994974
GREEN,299,65.6424,63.9998,8.2098,8.0,0.6297414885103412,-0.00799311615520247,0.12132567202793401,0.00013820340676097204
GREEN,330,65.6623,63.9998,8.2098,8.0,0.6326144416050705,-0.0063600194371493035,0.10876775709764357,0.00014066420517417039
GREEN,333,57.0,63.9998,8.2098,8.0,0.4727813902498701,-0.0024612566954180315,0.1329949387460185,2.5208350709260047e-05
GREEN,336,58.8278,63.9998,8.2098,8.0,0.5724909920879748,0.0035241622782411146,0.10567194543350557,8.185655303839099e-05
GREEN,337,65.9007,63.9998,8.2098,8.0,0.6803706922229571,-0.008127737163422025,0.11314723582696751,6.966611496953919e-05
GREEN,338,65.7219,63.9998,8.2098,8.0,0.5586521183260693,-0.007486485306689835,0.11990669009567001,0.00026456322822541556
GREEN,347,66.3576,63.9998,8.2098,8.0,0.5570618663801392,-0.0215537275649342,0.11812417028951612,0.00014928885550958223
GREEN,36,65.1854,63.9998,8.2098,8.0,0.5642841049105516,0.0004183016402900151,0.13011414305190722,0.0001068825462827155
GREEN,364,64.5695,63.9998,8.2098,8.0,0.3171967889962283,0.025407662535253714,0.1551164202504888,4.015870655402087e-05
GREEN,4,65.0861,63.9998,8.2098,8.0,0.5036596700819456,0.034215492243595644,0.12840799531611788,0.00019055371529819515
GREEN,50,65.2252,63.9998,8.2098,8.0,0.4989128104513817,0.008680348958411719,0.11273124880741636,0.00012964885661355445
GREEN,6,65.2848,63.9998,8.2098,8.0,0.48694484361618884,0.013459864270794857,0.10964576107287566,3.6068543745552106e-06
GREEN,69,65.2848,63.9998,8.2098,8.0,0.5759266092374575,0.0038029895705470104,0.1245577342419981,3.1817601650296035e-05
GREEN,9,58.7881,63.9998,8.2098,8.0,0.48833061071514994,0.007262092750679932,0.12830462764660774,0.00013837938902082236
ICA,10,44.3444,63.9998,12.3147,8.0,0.4137872952685919,-0.014357054002709573,0.12725314143468136,3.7116595461364334e-05
ICA,101,65.9007,63.9998,12.3147,8.0,0.5337896901190811,0.0026795155909074106,0.12574382031655962,8.06552791054403e-05
ICA,104,74.2053,63.9998,8.2098,8.0,0.4947437584283443,0.0067117157775198515,0.13976496871675978,0.00010422274073630964
ICA,107,87.0,63.9998,8.2098,8.0,0.3545855972837906,-0.026453504297900644,0.13648634232752455,7.291399351376632e-05
ICA,108,62.106,63.9998,8.2098,8.0,0.5332818136539421,-0.008509358509368122,0.0975551790986687,8.049884435732491e-06
ICA,109,74.1854,63.9998,8.2098,8.0,0.3806291279811034,-0.001395334217135081,0.08634882510306283,3.7304894466916246e-05
ICA,135,86.1656,63.9998,20.5245,8.0,0.3093514596820284,0.009256323543930436,0.10537046267892221,1.072879157422393e-05
ICA,151,74.2848,63.9998,8.2098,8.0,0.4718375605274535,0.0005742413705703909,0.12443160044164997,6.383590933358386e-05
ICA,18,43.2517,63.9998,8.2098,8.0,0.31902936649640035,-0.015924923911774337,0.1062907902507287,6.734092389697163e-06
ICA,188,69.7152,63.9998,10.2623,8.0,0.2644510026641811,0.004830924207207408,0.11092861422225658,5.8899932611655525e-05
ICA,199,55.1722,63.9998,8.2098,8.0,0.43369604629530967,-0.022425367585660726,0.10238256541149376,3.411776057522189e-05
ICA,266,47.543,63.9998,14.3672,8.0,0.3310787249188136,-0.024039599462239183,0.11738223043615993,8.85810767317684e-06
ICA,280,48.2185,63.9998,8.2098,8.0,0.4926205565116606,0.016422648509471928,0.1098006199014034,3.0011877632583792e-05
ICA,299,65.8411,63.9998,8.2098,8.0,0.4591476098309343,-0.00916754475282487,0.10229227668873941,0.00011782715583016155
ICA,330,65.6026,63.9998,8.2098,8.0,0.42969257181474274,0.006838920085204355,0.11474721246803053,0.0001376540242089079
ICA,333,65.3245,63.9998,8.2098,8.0,0.4944161159990007,-0.0012066660070887674,0.11625742102987864,0.00011940491414653074
ICA,336,58.4305,63.9998,10.2623,8.0,0.363943866004079,0.013088450980735626,0.10089468734462864,1.1382299660060066e-06
ICA,337,59.5828,63.9998,8.2098,8.0,0.5699693930252577,0.006874441306587799,0.1284631301644248,1.448202162270894e-05
ICA,338,48.4768,63.9998,20.5245,8.0,0.5757483740392697,0.016163067845163418,0.10187861901023774,7.70841520332982e-05
ICA,347,55.0927,63.9998,8.2098,8.0,0.4857850399087177,-0.000670743064979382,0.12956295027891404,0.00015086922811269435
ICA,36,65.3245,63.9998,8.2098,8.0,0.6009955283717229,-0.001926265171854217,0.12217079564001804,9.293311161820572e-06
ICA,364,76.2318,63.9998,10.2623,8.0,0.3365384249745975,-0.0033913603627841646,0.07930793467016717,4.362075753108498e-05
ICA,4,68.9801,63.9998,8.2098,8.0,0.33612851023762647,0.04245417097427334,0.14678311415029877,0.00010131136638022761
ICA,50,65.2053,63.9998,8.2098,8.0,0.3345134646525546,0.00024422608847526493,0.1305284270041348,3.156359572398483e-05
ICA,6,93.2781,63.9998,8.2098,8.0,0.401533544500985,-0.012971099439675834,0.1676590682338799,4.648646808429734e-05
ICA,69,66.0397,63.9998,8.2098,8.0,0.4906557191470673,0.02015588991017815,0.13409803977130516,7.819464225108434e-05
ICA,9,65.3642,63.9998,8.2098,8.0,0.5036889983722141,-0.006102124845946702,0.11874673178300599,7.101367042648048e-05
LGI,10,65.5033,63.9998,10.2623,8.0,0.5366561012727142,0.017040725848539363,0.12481942731353045,1.6207668744251665e-05
LGI,101,59.2649,63.9998,8.2098,8.0,0.5773661885445237,-0.012116023842449725,0.12934599386308343,0.0001404589899240027
LGI,104,74.1854,63.9998,8.2098,8.0,0.471524477264311,-0.009838244223481108,0.15083033840703428,0.0001061317276061638
LGI,107,66.0795,63.9998,8.2098,8.0,0.526344191518773,-0.0070946655099582805,0.10543529772644371,1.2132080154544756e-06
LGI,108,65.7417,63.9998,8.2098,8.0,0.5426188531592837,-0.010044291411000316,0.10068995709324467,9.314799263250277e-05
LGI,109,65.2252,63.9998,8.2098,8.0,0.5150996949606386,0.003051084497181334,0.09471455182667145,0.00015642138011239193
LGI,135,36.4967,63.9998,10.2623,8.0,0.31691331896544706,0.009613530130377324,0.13167643767852258,0.0003081797472859978
LGI,151,65.3245,63.9998,8.2098,8.0,0.5698759388206329,0.001579469307710835,0.11986887787719051,0.00010575595447807411
LGI,18,43.2517,63.9998,12.3147,8.0,0.3336271388024705,0.03135613106852274,0.11779942556467587,1.8758573785448557e-06
LGI,188,66.0795,63.9998,8.2098,8.0,0.5097114357991851,-0.00449430557697418,0.12540095676129662,0.0003332268222890788
LGI,199,54.9735,63.9998,8.2098,8.0,0.44127253787713827,0.017237279818751602,0.10039211578568968,0.00010136395863575805
LGI,266,56.7417,63.9998,8.2098,8.0,0.49961481040731925,-0.010275117695640053,0.09960267381509251,7.151991314349664e-05
LGI,280,59.2252,63.9998,8.2098,8.0,0.515998712292784,-0.012111466480982465,0.11437133447069377,2.3013710014018036e-05
LGI,299,65.4834,63.9998,8.2098,8.0,0.5362704291439409,-0.006540799128793912,0.12175041595984734,0.0001772840471449595
LGI,330,65.4636,63.9998,8.2098,8.0,0.630259920979514,-0.002684469179240692,0.09565696823027411,7.187158908927322e-05
LGI,333,65.5629,63.9998,8.2098,8.0,0.5525095704010168,-0.005112854554525673,0.13571265807304744,6.819927718396919e-05
LGI,336,53.9404,63.9998,8.2098,8.0,0.4751444945199379,-0.0006009777241562304,0.11588831796271042,0.00013438922707764735
LGI,337,65.9007,63.9998,8.2098,8.0,0.6049094049863105,-0.0024205032355298344,0.14229194760598782,0.00021739635588292213
LGI,338,65.5033,63.9998,8.2098,8.0,0.5050334495882163,0.00380709887297321,0.12518164550531694,0.00011184591569789124
LGI,347,65.7219,63.9998,8.2098,8.0,0.5090605183926931,0.002551451439454642,0.10796015619548274,5.9341667940366645e-05
LGI,36,56.6623,63.9998,8.2098,8.0,0.532276539996333,-0.01106113244883245,0.1378191869582049,7.480429969350937e-05
LGI,364,76.3709,63.9998,10.2623,8.0,0.32186375545436186,0.00540878528084738,0.10271690686345379,3.865114669541647e-05
LGI,4,74.5033,63.9998,8.2098,8.0,0.5529639746327566,-0.008096342335151396,0.09155368175941242,8.861253800386486e-06
LGI,50,65.7616,63.9998,8.2098,8.0,0.5895667928572688,-0.0011775262714988778,0.11445909821894168,0.00018117929661399143
LGI,6,65.6821,63.9998,8.2098,8.0,0.5898441131846393,0.0016491384134385422,0.13822896820719183,1.297386747504863e-05
LGI,69,65.8411,63.9998,8.2098,8.0,0.6623170655071989,-0.014297933707312435,0.12259060727309896,0.00014666573426946696
