Metodo,Patch,PPG_BPM,ECG_BPM,PPG_iRPM,PRE_iRPM,SQI1,SQI2
CHROM,10,62.7084,62.9262,8.3141,14.0,0.8168729034425027,-0.005610100183464456
CHROM,101,62.7285,62.9262,10.3926,14.0,0.8306927473169461,-0.004331423237204819
CHROM,104,63.0302,62.9262,8.3141,14.0,0.6444519206255599,-0.00932258479893276
CHROM,107,62.7084,62.9262,12.4711,14.0,0.745289792575329,-0.008658439497969215
CHROM,108,62.8089,62.9262,12.4711,14.0,0.7305796609625702,-0.008909565192116678
CHROM,109,62.6883,62.9262,8.3141,14.0,0.7967327652285675,-0.00504602284279568
CHROM,135,63.2313,62.9262,10.3926,14.0,0.5303043875107354,0.01687567880040377
CHROM,151,62.7084,62.9262,12.4711,14.0,0.8045750796762471,-0.007637326520358119
CHROM,18,38.1117,62.9262,10.3926,14.0,0.338280848980569,-0.028437839659749137
CHROM,188,62.8894,62.9262,10.3926,14.0,0.7664835298424405,0.00879527558519404
CHROM,199,45.1911,62.9262,10.3926,14.0,0.3404514011642411,-0.025604494171302544
CHROM,266,62.9497,62.9262,10.3926,14.0,0.7990963730179041,0.006326346832185165
CHROM,280,62.9698,62.9262,10.3926,14.0,0.7891006658727684,-0.0007051485268125496
CHROM,299,62.7888,62.9262,12.4711,14.0,0.7754112460514223,0.00241668062027444
CHROM,330,62.9497,62.9262,10.3926,14.0,0.7664033538190081,0.004573366665270447
CHROM,333,62.9899,62.9262,8.3141,14.0,0.7137903029609567,0.011451122140165991
CHROM,336,62.7888,62.9262,10.3926,14.0,0.7607974518891191,0.001098726259764037
CHROM,337,62.7486,62.9262,8.3141,14.0,0.8023252037332751,-0.00688329063169134
CHROM,338,62.8089,62.9262,12.4711,14.0,0.8101162773510281,-0.008468411915541593
CHROM,347,63.1709,62.9262,8.3141,14.0,0.7269538002922427,0.010348223525378276
CHROM,36,62.8894,62.9262,10.3926,14.0,0.8018094003054793,0.00017361160313036095
CHROM,364,62.286,62.9262,12.4711,14.0,0.38485844650290857,-0.004512142903454221
CHROM,4,62.9497,62.9262,10.3926,14.0,0.8139352716324753,-0.0005922267180466711
