Metodo,Patch,PPG_BPM,ECG_BPM,PPG_iRPM,PRE_iRPM,SQI1,SQI2
CHROM,10,66.9143,68.2447,10.3448,8.0,0.6829458776470709,-0.009767091090788169
CHROM,101,67.1346,68.2447,8.2759,8.0,0.689568496985133,0.0004607927635577227
CHROM,104,66.8743,68.2447,8.2759,8.0,0.5729798598715236,0.005289419430723912
CHROM,107,67.1546,68.2447,16.5517,8.0,0.5882544416679376,0.012960769986430221
CHROM,108,67.0345,68.2447,14.4828,8.0,0.7018595937322182,-0.006173786355452085
CHROM,109,66.8142,68.2447,8.2759,8.0,0.6794520598900167,0.00047895149851142987
CHROM,135,69.6174,68.2447,12.4138,8.0,0.38455784769323087,0.0008826011356103188
CHROM,151,66.8543,68.2447,16.5517,8.0,0.6379007916752542,-0.003340292550388199
CHROM,18,57.4038,68.2447,8.2759,8.0,0.36667527979915226,0.00010456969275470287
CHROM,188,66.9544,68.2447,12.4138,8.0,0.7175354788713213,-0.005481087650683605
CHROM,199,65.2125,68.2447,8.2759,8.0,0.41140353129807183,0.0033933747017956583
CHROM,266,66.9744,68.2447,8.2759,8.0,0.6566265022695625,0.005438724146501216
CHROM,280,67.0145,68.2447,14.4828,8.0,0.6706297637555283,-0.01314843496558199
CHROM,299,67.1346,68.2447,16.5517,8.0,0.5807303475213452,-0.02335725094484377
CHROM,330,66.9744,68.2447,8.2759,8.0,0.7470149765352119,0.0019439212560855288
CHROM,333,70.0178,68.2447,8.2759,8.0,0.6132310886039015,-0.0047893129094498076
CHROM,336,67.1146,68.2447,16.5517,8.0,0.6582430223738017,0.0036031088136151495
CHROM,337,66.9544,68.2447,10.3448,8.0,0.7309599006867142,-0.009787630468011
CHROM,338,66.8943,68.2447,20.6897,8.0,0.6742526713258326,-0.008891201456433687
CHROM,347,66.9744,68.2447,18.6207,8.0,0.6514536917372713,-0.008071671060163335
CHROM,36,67.2747,68.2447,8.2759,8.0,0.5980986408015552,-0.00471410235081562
CHROM,364,52.0378,68.2447,14.4828,8.0,0.39180349605269327,0.001239981519810656
CHROM,4,66.7341,68.2447,8.2759,8.0,0.7130616641406182,-0.007009644983577191
CHROM,50,66.9143,68.2447,10.3448,8.0,0.7054993026345175,0.007739393940600126
CHROM,6,66.9944,68.2447,8.2759,8.0,0.6298447226593135,-0.0164900624706249
CHROM,69,67.0945,68.2447,8.2759,8.0,0.6544736054002116,0.0029278462107885012
CHROM,9,67.0145,68.2447,16.5517,8.0,0.7435285240504468,0.005287385131395348
GBGR,10,66.8743,68.2447,10.3448,8.0,0.5910009574197923,0.0072740399456262955
GBGR,101,67.1546,68.2447,8.2759,8.0,0.6545155406594364,-0.004748504263599508
GBGR,104,58.5851,68.2447,12.4138,8.0,0.3446595892116493,-0.0060685782387119545
GBGR,107,67.1546,68.2447,14.4828,8.0,0.5775011243876164,-0.004725965309900169
GBGR,108,67.0345,68.2447,14.4828,8.0,0.6955776766794881,-0.0027842746014171676
GBGR,109,67.0945,68.2447,12.4138,8.0,0.6502760600443112,0.012741265408305795
GBGR,135,62.8498,68.2447,14.4828,8.0,0.4281161919593577,-0.0033298079322281334
GBGR,151,66.7942,68.2447,16.5517,8.0,0.5864842425190142,-0.005379883574867617
GBGR,18,67.3749,68.2447,8.2759,8.0,0.34496470650392486,-0.004669000083622303
GBGR,188,67.0545,68.2447,8.2759,8.0,0.6722899242933786,0.009047304957023852
GBGR,199,65.2525,68.2447,8.2759,8.0,0.4241714327136239,-0.005025812809083361
GBGR,266,66.9944,68.2447,8.2759,8.0,0.6687706745410765,-0.0033458284332783628
GBGR,280,66.9544,68.2447,8.2759,8.0,0.6708545859346906,0.02186880535791329
GBGR,299,67.3148,68.2447,14.4828,8.0,0.5299750365894109,0.022760561742907612
GBGR,330,66.9944,68.2447,10.3448,8.0,0.7220180021405922,-0.0012019122551950264
GBGR,333,69.9778,68.2447,8.2759,8.0,0.6176742245935869,0.006312595116699257
GBGR,336,67.0145,68.2447,16.5517,8.0,0.6654555792464946,-0.00046041635685372014
GBGR,337,67.0345,68.2447,20.6897,8.0,0.6950324120110165,0.008895071789833234
GBGR,338,66.9344,68.2447,8.2759,8.0,0.5871270670785045,0.018055463791286145
GBGR,347,66.8343,68.2447,10.3448,8.0,0.6001044985749113,0.00922378741261821
GBGR,36,67.3749,68.2447,8.2759,8.0,0.563658665225339,-0.0045623520289867275
GBGR,364,52.0779,68.2447,14.4828,8.0,0.40850859817921314,-0.0008021497330120344
GBGR,4,66.594,68.2447,8.2759,8.0,0.684993642405153,0.0031579811294077716
GBGR,50,66.9944,68.2447,10.3448,8.0,0.6701483165964619,-0.014779802327023403
GBGR,6,67.1546,68.2447,8.2759,8.0,0.5479044168953598,0.018665222970078863
GBGR,69,67.1546,68.2447,14.4828,8.0,0.557618415311252,-0.013126103435689228
GBGR,9,67.0145,68.2447,16.5517,8.0,0.739028503452662,-0.002177878234668729
GREEN,10,66.9143,68.2447,8.2759,8.0,0.7601590073000757,0.023159090401137353
GREEN,101,67.0745,68.2447,16.5517,8.0,0.7224780521731912,0.02065149362896622
GREEN,104,66.574,68.2447,16.5517,8.0,0.3437418627690697,0.014777427604270494
GREEN,107,37.2814,68.2447,16.5517,8.0,0.36728323173617594,-0.017477032905863412
GREEN,108,66.7942,68.2447,16.5517,8.0,0.6514400778127685,0.021341700610979404
GREEN,109,66.634,68.2447,8.2759,8.0,0.7025883821286545,0.0018952134257019476
GREEN,135,48.594,68.2447,8.2759,8.0,0.35534580175346964,-0.0034980289475286994
GREEN,151,66.9744,68.2447,8.2759,8.0,0.7283417058752235,0.021929308126579526
GREEN,18,67.495,68.2447,8.2759,8.0,0.472260157146037,0.00523602004190108
GREEN,188,66.8343,68.2447,12.4138,8.0,0.6315134219266052,0.003157181831619231
GREEN,199,47.673,68.2447,8.2759,8.0,0.37598682981895026,0.013725767880671343
GREEN,266,66.8343,68.2447,10.3448,8.0,0.63090179806473,0.0003922087704448162
GREEN,280,54.2403,68.2447,8.2759,8.0,0.3120763300660844,-0.007607824173377841
GREEN,299,67.0945,68.2447,16.5517,8.0,0.7078169578012763,0.01982308494449191
GREEN,330,66.9143,68.2447,8.2759,8.0,0.7897963177169411,0.002063965888246612
GREEN,333,67.1746,68.2447,8.2759,8.0,0.5351566613397458,0.013648583468589251
GREEN,336,53.5795,68.2447,12.4138,8.0,0.27105198788091533,-0.014950204994722611
GREEN,337,66.9744,68.2447,10.3448,8.0,0.7549568664323223,0.015303543238890872
GREEN,338,66.9544,68.2447,10.3448,8.0,0.7265126410983623,-0.004390331982079024
GREEN,347,66.9344,68.2447,8.2759,8.0,0.6038209791439734,0.014038546418436926
GREEN,36,67.0145,68.2447,16.5517,8.0,0.6147984653501303,0.006604244227712008
GREEN,364,50.436,68.2447,8.2759,8.0,0.3045347823347614,-0.008647966134275195
GREEN,4,66.8343,68.2447,16.5517,8.0,0.2842632001690111,0.020708049903621864
GREEN,50,48.7341,68.2447,8.2759,8.0,0.4078925656730604,0.015978140128189565
GREEN,6,66.6941,68.2447,8.2759,8.0,0.5903748204266024,0.0035163409260449284
GREEN,69,66.7341,68.2447,12.4138,8.0,0.4966905240637639,0.008447169744498906
GREEN,9,67.0945,68.2447,20.6897,8.0,0.5524946799117958,-0.00668487851015581
ICA,10,57.1435,68.2447,10.3448,8.0,0.4829921691770973,-0.002372530989964493
ICA,101,48.3537,68.2447,10.3448,8.0,0.37619522113887527,0.011036345558859387
ICA,104,55.9422,68.2447,20.6897,8.0,0.3972078037745904,0.016561915843255674
ICA,107,67.0145,68.2447,10.3448,8.0,0.360387856836737,-0.007839987789152259
ICA,108,84.9344,68.2447,8.2759,8.0,0.29513071955116776,0.011119372370406963
ICA,109,66.3938,68.2447,8.2759,8.0,0.6245827018050439,-0.013965984782076852
ICA,135,70.0178,68.2447,14.4828,8.0,0.22671988419500966,0.004063370603255764
ICA,151,67.0145,68.2447,8.2759,8.0,0.6223070226584799,0.01698272976100842
ICA,18,67.495,68.2447,8.2759,8.0,0.5165370190737194,-0.0042692262698678105
