Metodo,Patch,PPG_BPM,ECG_BPM,PPG_iRPM,PRE_iRPM,SQI1,SQI2
CHROM,10,50.0575,59.6056,8.2286,8.0,0.6831585308150225,-0.0027688871985170134
CHROM,101,50.2168,59.6056,8.2286,8.0,0.7435869561770027,-0.0035954811669578956
CHROM,104,50.1969,59.6056,8.2286,8.0,0.6742475332227713,0.011497106765638457
CHROM,107,50.0774,59.6056,8.2286,8.0,0.7497926040193972,-0.001264997717479936
CHROM,108,50.1372,59.6056,8.2286,8.0,0.7114886469686685,0.003330123989031323
CHROM,109,49.958,59.6056,8.2286,8.0,0.7132201202499577,-0.004486428122267333
CHROM,135,50.0973,59.6056,8.2286,8.0,0.4470216911369469,-0.027805329659800756
CHROM,151,50.0774,59.6056,8.2286,8.0,0.7101166974194186,-0.0010266118388661534
CHROM,18,104.9535,59.6056,8.2286,8.0,0.3406982637473166,0.01602651033960027
CHROM,188,50.177,59.6056,8.2286,8.0,0.6375334416636795,-0.004681702498212991
CHROM,199,50.0973,59.6056,8.2286,8.0,0.48933564376551375,0.006643907428293824
CHROM,266,50.1372,59.6056,8.2286,8.0,0.7323540193824509,0.012565942341975405
CHROM,280,50.1173,59.6056,8.2286,8.0,0.7100738898165759,0.009073390785003162
CHROM,299,50.1173,59.6056,8.2286,8.0,0.7275066475703262,-0.004151274867074393
CHROM,330,50.2965,59.6056,8.2286,8.0,0.7420388590171201,-0.00037276616429357214
CHROM,333,50.1969,59.6056,8.2286,8.0,0.6184519733304383,0.009277520102533843
CHROM,336,50.0177,59.6056,8.2286,8.0,0.7408132138586017,-0.007221285824125435
CHROM,337,50.1173,59.6056,8.2286,8.0,0.6960828576941145,0.003779030083134881
CHROM,338,50.2765,59.6056,8.2286,8.0,0.6949199167027229,0.008047055121711276
CHROM,347,50.0774,59.6056,8.2286,8.0,0.6013917302850451,-0.0077814767974097405
CHROM,36,49.9978,59.6056,8.2286,8.0,0.7391168353602839,-0.011856925391274973
CHROM,364,51.1327,59.6056,8.2286,8.0,0.3933528520348287,0.02945381936643386
CHROM,4,49.958,59.6056,8.2286,8.0,0.6620243111573543,-0.012630346916257331
CHROM,50,50.3562,59.6056,8.2286,8.0,0.7092143375755631,-0.009501460045684083
CHROM,6,50.1173,59.6056,16.4571,8.0,0.6388013149225014,-0.0011334144562284534
CHROM,69,49.8982,59.6056,12.3429,8.0,0.5660497517394264,0.019620610786761805
CHROM,9,50.2367,59.6056,8.2286,8.0,0.746254257748461,-0.0004467300783673614
GBGR,10,50.0177,59.6056,8.2286,8.0,0.6696695544796805,0.005352589254674081
GBGR,101,50.1372,59.6056,8.2286,8.0,0.7410943677777709,0.004109618729543925
GBGR,104,50.0575,59.6056,8.2286,8.0,0.6638764838255182,-0.005636946783652188
GBGR,107,49.9978,59.6056,8.2286,8.0,0.7482332400180813,0.0008385210415956314
GBGR,108,50.0376,59.6056,8.2286,8.0,0.7255156382126648,0.00526776178427007
GBGR,109,49.8783,59.6056,8.2286,8.0,0.7270165894186666,0.012879768623947076
GBGR,135,50.0973,59.6056,8.2286,8.0,0.3810975182927274,0.02737442591465282
GBGR,151,50.1571,59.6056,8.2286,8.0,0.7146430231639129,0.0031566522301427658
GBGR,18,104.9535,59.6056,8.2286,8.0,0.35579574206786846,-0.011766302013857265
GBGR,188,50.2367,59.6056,8.2286,8.0,0.5928184302261429,0.005071698696796367
GBGR,199,50.0177,59.6056,8.2286,8.0,0.49277876457052516,-0.006324996544886018
GBGR,266,50.0376,59.6056,8.2286,8.0,0.7417347309830462,-0.011695552833790165
GBGR,280,50.1173,59.6056,8.2286,8.0,0.6988246509856939,-0.012155341466604748
GBGR,299,50.1372,59.6056,8.2286,8.0,0.7328029781546235,0.007475235485319673
GBGR,330,50.2367,59.6056,8.2286,8.0,0.7309952607702224,-4.3084862518089926e-05
GBGR,333,50.2168,59.6056,8.2286,8.0,0.6276372138605293,-0.01013236762873614
GBGR,336,49.9779,59.6056,8.2286,8.0,0.7333983375387484,-0.001202842204462274
GBGR,337,50.1372,59.6056,8.2286,8.0,0.6542157041012289,-0.00914503356838327
GBGR,338,50.1969,59.6056,8.2286,8.0,0.6704731126548737,-0.010719356063016277
GBGR,347,50.0973,59.6056,8.2286,8.0,0.5923886261237281,0.0068475204136518855
GBGR,36,49.9978,59.6056,8.2286,8.0,0.7439066421694881,0.006628183013131967
GBGR,364,51.0929,59.6056,8.2286,8.0,0.4223202017429998,-0.02819307046702425
GBGR,4,49.9181,59.6056,8.2286,8.0,0.6972744512777527,-0.00042198962372577166
GBGR,50,50.2367,59.6056,8.2286,8.0,0.6929220470952495,0.009923175200657894
GBGR,6,50.1173,59.6056,8.2286,8.0,0.6999556943390504,0.0043750697077695674
GBGR,69,49.8186,59.6056,8.2286,8.0,0.6711386277938463,-0.003970812721110488
GBGR,9,50.2168,59.6056,8.2286,8.0,0.7155843524427608,-0.0025726292955642956
GREEN,10,50.1173,59.6056,8.2286,8.0,0.6118134040371089,0.0015210362008502708
GREEN,101,50.3164,59.6056,8.2286,8.0,0.7159090366748018,-3.440082226642599e-05
GREEN,104,67.3805,59.6056,16.4571,8.0,0.35928086521716607,-0.03569911197059746
GREEN,107,64.7721,59.6056,8.2286,8.0,0.35631909198780765,0.018794249766755977
GREEN,108,50.2765,59.6056,16.4571,8.0,0.538001838555578,-0.019960454514730882
GREEN,109,50.3164,59.6056,8.2286,8.0,0.41220111843335083,-0.009241046082388528
GREEN,135,49.6593,59.6056,8.2286,8.0,0.47176967270979586,0.022292418879485076
GREEN,151,50.177,59.6056,8.2286,8.0,0.5796688860964252,-0.005861107051019832
GREEN,18,58.7389,59.6056,12.3429,8.0,0.39388564982697083,0.017359315278629207
GREEN,188,50.177,59.6056,16.4571,8.0,0.4562963956736329,0.006025779036878807
GREEN,199,50.9137,59.6056,14.4,8.0,0.3377285026885919,-0.03105307888236488
GREEN,266,50.2367,59.6056,8.2286,8.0,0.6740372583604974,0.0037932176591062555
GREEN,280,58.4801,59.6056,8.2286,8.0,0.5734166550109219,-0.0005608599105194209
GREEN,299,50.2965,59.6056,8.2286,8.0,0.6775430445791573,-0.008532509959642186
GREEN,330,50.4159,59.6056,12.3429,8.0,0.6705344796320198,-0.002509836369456094
GREEN,333,50.4757,59.6056,12.3429,8.0,0.4892089137385096,-0.025162351825633332
GREEN,336,50.2965,59.6056,8.2286,8.0,0.6343905436465493,0.02025050000185933
GREEN,337,50.1969,59.6056,8.2286,8.0,0.6649116747631842,-0.0023783116835663335
GREEN,338,50.2566,59.6056,8.2286,8.0,0.6820134657878083,0.0018938897895125913
GREEN,347,50.4757,59.6056,14.4,8.0,0.5267991791337776,0.00336797960339318
GREEN,36,58.7389,59.6056,8.2286,8.0,0.5311645386137032,0.008139646120621357
GREEN,364,89.8407,59.6056,8.2286,8.0,0.38270273554484,0.021914523771478473
GREEN,4,67.5,59.6056,10.2857,8.0,0.33748462152063485,-0.023720648071790397
GREEN,50,50.4757,59.6056,14.4,8.0,0.49762730416150547,-0.018662220162740894
GREEN,6,52.9845,59.6056,14.4,8.0,0.3436125306720682,-0.00104168128486449
GREEN,69,53.8009,59.6056,10.2857,8.0,0.44632340300190365,-0.0421974600350634
GREEN,9,50.2566,59.6056,8.2286,8.0,0.7033187721607961,0.01661912568502335
ICA,10,58.3208,59.6056,8.2286,8.0,0.37051776699791494,-0.0077473504435630735
ICA,101,50.1969,59.6056,8.2286,8.0,0.7325145978457398,-0.0044396612313112845
ICA,104,50.1173,59.6056,8.2286,8.0,0.6740758166020767,0.010779244137564854
ICA,107,49.9381,59.6056,8.2286,8.0,0.7213801120558385,0.0004922446923258327
ICA,108,49.8186,59.6056,8.2286,8.0,0.5972225982882239,-0.008463983737115025
ICA,109,49.8783,59.6056,8.2286,8.0,0.7319795110600774,-0.011689286764399613
ICA,135,81.7965,59.6056,8.2286,8.0,0.2877726795366996,-0.004467615385975561
ICA,151,49.8783,59.6056,8.2286,8.0,0.6209814069549853,0.003322832369993555
ICA,18,52.5465,59.6056,14.4,8.0,0.35353596368297635,0.0309417132769824
ICA,188,50.1173,59.6056,8.2286,8.0,0.4335980978417101,0.003470670869253229
ICA,199,51.4712,59.6056,8.2286,8.0,0.2707946544700809,-0.022867164307573403
ICA,266,61.3075,59.6056,10.2857,8.0,0.3553548792560658,-0.011539916884407964
ICA,280,50.2367,59.6056,8.2286,8.0,0.5048897925224244,0.025972337718264373
ICA,299,49.9381,59.6056,8.2286,8.0,0.6073399097259773,0.007151664029527908
ICA,330,50.2367,59.6056,8.2286,8.0,0.7321797250896421,0.000668558498442768
ICA,333,48.0664,59.6056,14.4,8.0,0.4166734168039654,0.0008998649095614864
ICA,336,40.0619,59.6056,12.3429,8.0,0.26775545641784226,0.028336745889223827
ICA,337,50.5354,59.6056,12.3429,8.0,0.5164226923067372,0.008340296242247787
ICA,338,49.8385,59.6056,8.2286,8.0,0.2751613083914938,0.018485613960491466
ICA,347,65.708,59.6056,10.2857,8.0,0.43078369511558934,0.010464601081456752
ICA,36,50.3164,59.6056,8.2286,8.0,0.6061020333517796,0.017669725534612702
ICA,364,51.0929,59.6056,8.2286,8.0,0.41028532996977696,0.030831965513573617
ICA,4,59.2367,59.6056,8.2286,8.0,0.44304897575242064,0.008678626521134158
ICA,50,50.5354,59.6056,8.2286,8.0,0.6680453297149374,-0.005807575459233672
ICA,6,63.5973,59.6056,8.2286,8.0,0.45109229550693575,-0.004649164981801166
ICA,69,49.7588,59.6056,8.2286,8.0,0.6617721227916258,-0.0048045898719280755
ICA,9,50.177,59.6056,8.2286,8.0,0.5217773369260841,0.006570174901142581
LGI,10,50.0575,59.6056,8.2286,8.0,0.6859373853727471,0.0037030848088425924
LGI,101,50.1969,59.6056,8.2286,8.0,0.7444183894064884,0.0037801599154178287
LGI,104,50.1969,59.6056,8.2286,8.0,0.6757492418353088,-0.010750630538366935
LGI,107,50.0774,59.6056,8.2286,8.0,0.7486892527331463,0.0024209976919086417
LGI,108,50.0973,59.6056,8.2286,8.0,0.7253469401282386,0.0002521732909154118
LGI,109,49.9381,59.6056,8.2286,8.0,0.7172939233095175,0.005062465613963589
LGI,135,90.3385,59.6056,8.2286,8.0,0.35433293767204754,0.022668806301422973
LGI,151,50.0973,59.6056,8.2286,8.0,0.720897139223381,0.0018777177379101645
LGI,18,104.9535,59.6056,8.2286,8.0,0.37454462884058715,-0.010952496548553018
LGI,188,50.1969,59.6056,8.2286,8.0,0.6435150056105248,0.005110376518085462
LGI,199,50.1173,59.6056,8.2286,8.0,0.4848025358225998,-0.006884232031218871
LGI,266,50.1173,59.6056,8.2286,8.0,0.7325151305250881,-0.012563973595947901
LGI,280,50.1571,59.6056,8.2286,8.0,0.7125176331036414,-0.0035424282619586998
LGI,299,50.1173,59.6056,8.2286,8.0,0.7282798836852052,0.004645377739873818
LGI,330,50.3164,59.6056,8.2286,8.0,0.7421163076155666,0.00038293178999519696
LGI,333,50.1571,59.6056,8.2286,8.0,0.5843920514564,-0.011435578558756807
LGI,336,50.0376,59.6056,8.2286,8.0,0.7425002620766272,0.008768127294360882
LGI,337,50.1372,59.6056,8.2286,8.0,0.6899093531389027,-0.00628807593616123
LGI,338,50.2765,59.6056,8.2286,8.0,0.6950810823368877,-0.007989815053721113
LGI,347,50.1173,59.6056,8.2286,8.0,0.62896388964856,0.008839393579461775
LGI,36,49.9978,59.6056,8.2286,8.0,0.7458729256130355,0.010941328947801875
LGI,364,51.073,59.6056,8.2286,8.0,0.40947873810641233,-0.036356488515067564
LGI,4,49.9381,59.6056,8.2286,8.0,0.6670382072613027,0.009892661569609456
LGI,50,50.3761,59.6056,8.2286,8.0,0.7098041107797026,0.009169894149670274
LGI,6,50.0973,59.6056,16.4571,8.0,0.6813743783246529,0.002418199162655468
