Metodo,Patch,PPG_BPM,ECG_BPM,PPG_iRPM,PRE_iRPM,SQI1,SQI2
CHROM,10,51.1632,51.7743,8.2569,16.0,0.7481847033471134,0.0030982887855495393
CHROM,101,51.2031,51.7743,8.2569,16.0,0.8200180337596702,0.012691001174555572
CHROM,104,51.303,51.7743,8.2569,16.0,0.7105009365602,0.01081158370559262
CHROM,107,51.343,51.7743,8.2569,16.0,0.8108252419997417,0.002524533013998255
CHROM,108,51.3629,51.7743,8.2569,16.0,0.8090119320110666,0.009274634976697041
CHROM,109,51.2231,51.7743,8.2569,16.0,0.7654577568849519,0.014528586856522719
CHROM,135,37.6781,51.7743,8.2569,16.0,0.3306079246240976,0.01717135504770966
CHROM,151,51.3829,51.7743,8.2569,16.0,0.8236887367012358,0.008326133982893067
CHROM,18,39.7358,51.7743,8.2569,16.0,0.48563643974920334,-0.016312870660158105
CHROM,188,51.5627,51.7743,12.3853,16.0,0.7941572587267681,0.0093921928327377
CHROM,199,49.9046,51.7743,12.3853,16.0,0.47855548860660624,-0.004508671505298814
CHROM,266,51.2031,51.7743,8.2569,16.0,0.8031528124748362,0.010664975976161412
CHROM,280,51.4428,51.7743,12.3853,16.0,0.6302828754999039,0.009902348318936797
CHROM,299,51.4628,51.7743,12.3853,16.0,0.7166564638156991,0.021104211726701037
CHROM,330,51.283,51.7743,8.2569,16.0,0.7985673426523529,0.0136556981546985
CHROM,333,51.7825,51.7743,8.2569,16.0,0.7076401807611165,-0.004482702826538178
CHROM,336,51.5028,51.7743,8.2569,16.0,0.8011199143921334,-0.005885920801757094
CHROM,337,51.4828,51.7743,12.3853,16.0,0.834986827583764,0.002361938934730887
CHROM,338,51.3629,51.7743,12.3853,16.0,0.814534126090404,0.01692666957015757
CHROM,347,51.3629,51.7743,8.2569,16.0,0.7783564183806078,0.012034164860319153
CHROM,36,51.1831,51.7743,8.2569,16.0,0.8207603526732857,0.009284858682337855
CHROM,364,52.5416,51.7743,14.4495,16.0,0.5081440044785384,0.0007715801690543884
CHROM,4,51.0433,51.7743,8.2569,16.0,0.7919597191951728,0.016582945815424317
CHROM,50,51.5627,51.7743,8.2569,16.0,0.7755256442475476,0.005198258913629512
CHROM,6,51.3829,51.7743,8.2569,16.0,0.7934000514895676,0.01671742522076691
CHROM,69,51.4428,51.7743,8.2569,16.0,0.7575399443735523,0.020045080169887736
CHROM,9,51.2431,51.7743,8.2569,16.0,0.8362957432482714,0.007970731623255876
GBGR,10,51.6826,51.7743,12.3853,16.0,0.7928912422582708,-0.007051386209674298
GBGR,101,51.263,51.7743,8.2569,16.0,0.8132433098203334,-0.012904905249815442
GBGR,104,51.8024,51.7743,8.2569,16.0,0.6897014931655809,-0.007305189838286586
GBGR,107,51.5228,51.7743,8.2569,16.0,0.7627895573655713,-0.0034630751431694684
GBGR,108,51.7825,51.7743,8.2569,16.0,0.7778788260392155,0.003524236850206393
GBGR,109,51.8024,51.7743,8.2569,16.0,0.7751430782164487,-0.0029560659997313727
GBGR,135,37.5782,51.7743,10.3211,16.0,0.4256187372104554,-0.016898017406953413
GBGR,151,51.5827,51.7743,12.3853,16.0,0.8268246019339596,-0.009809132723353277
GBGR,18,39.3762,51.7743,12.3853,16.0,0.4383798005912942,0.0025776886625190846
GBGR,188,51.6626,51.7743,12.3853,16.0,0.7611885260376879,-0.002724323737711078
GBGR,199,49.9245,51.7743,12.3853,16.0,0.4665511694243687,0.0015454189869379606
GBGR,266,51.2231,51.7743,8.2569,16.0,0.8320311317048177,-0.01757051856472486
GBGR,280,51.4029,51.7743,8.2569,16.0,0.7328511267967995,-0.013136588624878534
GBGR,299,51.5827,51.7743,8.2569,16.0,0.6913141011619302,-0.0002714297020498681
GBGR,330,51.2431,51.7743,8.2569,16.0,0.8357441064793998,-0.012979023377321697
GBGR,333,51.8224,51.7743,8.2569,16.0,0.5910656889580528,-0.0011888740238782261
GBGR,336,51.6027,51.7743,8.2569,16.0,0.7724458053811557,-0.00971303753369433
GBGR,337,51.4428,51.7743,12.3853,16.0,0.7977023334270625,-0.00818525126119519
GBGR,338,51.6826,51.7743,12.3853,16.0,0.6667983596870359,-0.008119385770855417
GBGR,347,51.303,51.7743,8.2569,16.0,0.7922506119093151,-0.008170497973244768
GBGR,36,51.3629,51.7743,8.2569,16.0,0.8021320371914801,-0.012584915738167066
GBGR,364,49.7048,51.7743,12.3853,16.0,0.5901031954651295,-0.0021822961832482202
GBGR,4,51.2231,51.7743,8.2569,16.0,0.8116863505864864,-0.014815727799954432
