Metodo,Patch,PPG_BPM,ECG_BPM,PPG_iRPM,PRE_iRPM,SQI1,SQI2
CHROM,10,52.7428,52.2495,9.8093,12.0,0.5077687731652236,0.0024363778539383675
CHROM,101,52.643,52.2495,9.8093,12.0,0.6704997986616017,0.003111856877435501
CHROM,104,44.6608,52.2495,19.6185,12.0,0.39567212474259883,0.01836750303530374
CHROM,107,52.9823,52.2495,19.6185,12.0,0.4839764906144711,-0.014753960993015777
CHROM,108,52.5233,52.2495,12.2616,12.0,0.6356133293406584,0.004948125786312018
CHROM,109,52.4435,52.2495,17.1662,12.0,0.647272218180104,0.012756481208056348
CHROM,135,61.3237,52.2495,17.1662,12.0,0.35927894949836026,-0.006214583617501939
CHROM,151,52.6829,52.2495,19.6185,12.0,0.6384310599139713,-0.002770659756143818
CHROM,18,60.8847,52.2495,12.2616,12.0,0.44311520009367844,-0.002940483963619504
CHROM,188,52.4634,52.2495,9.8093,12.0,0.5380445059932737,0.007496069249370007
CHROM,199,45.3792,52.2495,14.7139,12.0,0.27769549474761823,-0.0068451252798423495
CHROM,266,52.0443,52.2495,19.6185,12.0,0.7668774306769117,0.011446496701926658
CHROM,280,52.2239,52.2495,9.8093,12.0,0.6129238723214554,0.0003190396827069368
CHROM,299,51.7251,52.2495,14.7139,12.0,0.7020753721736859,0.01410488450167099
CHROM,330,52.204,52.2495,19.6185,12.0,0.7914866290950131,0.015099705648677237
CHROM,333,52.204,52.2495,19.6185,12.0,0.6699189161554455,0.012565474356815029
CHROM,336,51.9446,52.2495,12.2616,12.0,0.7202882611462398,0.02686631052861488
CHROM,337,52.1641,52.2495,12.2616,12.0,0.7165302038293626,0.034138585763638415
CHROM,338,51.8248,52.2495,12.2616,12.0,0.5693589836811216,0.02043285628688221
CHROM,347,52.2239,52.2495,9.8093,12.0,0.7463434051350455,0.014344452060713988
CHROM,36,52.4634,52.2495,19.6185,12.0,0.6928406595827994,0.015226234045137612
