Metodo,Patch,PPG_BPM,ECG_BPM,PPG_iRPM,PRE_iRPM,SQI1,SQI2
CHROM,10,51.2231,50.9305,9.5491,14.0,0.7370437964100869,-0.000602352946008846
CHROM,101,51.1632,50.9305,19.0981,14.0,0.69040957138861,0.006947537843935295
CHROM,104,51.1831,50.9305,9.5491,14.0,0.6165998620617267,0.006957212626764337
CHROM,107,51.3629,50.9305,26.2599,14.0,0.519402849684192,-0.011283485617552567
CHROM,108,51.3629,50.9305,9.5491,14.0,0.7029698177324912,0.006755756051106633
CHROM,109,51.263,50.9305,14.3236,14.0,0.6946867077616112,-0.010770860508420103
CHROM,135,44.5105,50.9305,14.3236,14.0,0.343658124326055,-0.02592379629914274
CHROM,151,51.283,50.9305,0,14.0,0.6980194815008471,-0.0032049564557805835
CHROM,18,42.4528,50.9305,14.3236,14.0,0.5173910270607647,-0.0006151869646280334
CHROM,188,51.263,50.9305,0,14.0,0.6711429678599392,0.0029152506685122055
CHROM,199,40.0355,50.9305,16.7109,14.0,0.38630497364092353,0.014292320281062592
CHROM,266,50.8036,50.9305,16.7109,14.0,0.8329277966273089,0.012673415981197683
CHROM,280,51.1032,50.9305,14.3236,14.0,0.7697061537723863,0.01827287360796246
CHROM,299,50.6837,50.9305,11.9363,14.0,0.7774313896533378,0.016846848956367844
CHROM,330,50.8036,50.9305,21.4854,14.0,0.835333262231859,0.018869907768881
CHROM,333,50.7636,50.9305,14.3236,14.0,0.7387999918244932,0.022373627752129144
CHROM,336,50.7436,50.9305,11.9363,14.0,0.7384596508405137,0.028183684362641296
CHROM,337,50.5838,50.9305,16.7109,14.0,0.7811142773164628,0.031140833930190532
CHROM,338,50.5838,50.9305,16.7109,14.0,0.6756011938080106,0.02187768873816596
CHROM,347,50.8635,50.9305,9.5491,14.0,0.8424036879420514,0.014216593783105714
CHROM,36,51.1432,50.9305,19.0981,14.0,0.71839273239169,0.009940176828518565
CHROM,364,50.7636,50.9305,14.3236,14.0,0.3414766452153116,0.008371215782872898
CHROM,4,50.6038,50.9305,14.3236,14.0,0.8020397589881345,0.011408847814792233
CHROM,50,51.2431,50.9305,14.3236,14.0,0.6115898614809008,0.011869352729921604
CHROM,6,51.2431,50.9305,19.0981,14.0,0.7572073260436357,0.007729134565667945
CHROM,69,51.1432,50.9305,14.3236,14.0,0.7226768235797987,0.007400981938557657
CHROM,9,50.8435,50.9305,9.5491,14.0,0.8101213250342945,0.025394591073380057
GBGR,10,50.6837,50.9305,16.7109,14.0,0.8002441102508362,-0.018237792649854197
GBGR,101,50.7836,50.9305,11.9363,14.0,0.7697979802903919,-0.024477685186360933
GBGR,104,50.8235,50.9305,9.5491,14.0,0.6735898400584113,-0.01556366194657119
GBGR,107,50.6437,50.9305,9.5491,14.0,0.7110733891165593,-0.023925232697501027
GBGR,108,50.7636,50.9305,14.3236,14.0,0.7333076368518748,-0.02841482146277322
GBGR,109,50.7236,50.9305,14.3236,14.0,0.7134228499031408,-0.009060321048398691
GBGR,135,44.4107,50.9305,14.3236,14.0,0.3436235210924028,0.02171719961199806
GBGR,151,50.6637,50.9305,26.2599,14.0,0.7915835709893737,-0.017820086840985915
GBGR,18,42.3929,50.9305,14.3236,14.0,0.5056797061861154,0.003394648779510918
GBGR,188,50.8635,50.9305,14.3236,14.0,0.7625204150375497,-0.018339926221449244
GBGR,199,39.9756,50.9305,16.7109,14.0,0.4264442648809935,-0.018997409389898367
GBGR,266,50.6238,50.9305,19.0981,14.0,0.7901722979019801,2.3194952058929098e-05
GBGR,280,50.9034,50.9305,19.0981,14.0,0.710337780512537,-0.0008419712904088788
GBGR,299,50.6437,50.9305,14.3236,14.0,0.7458305655154956,-0.005491809401693309
GBGR,330,50.6238,50.9305,26.2599,14.0,0.8105227949322353,-0.007064960782182325
GBGR,333,50.7037,50.9305,11.9363,14.0,0.7160089439040431,-0.011383113321050088
GBGR,336,50.7636,50.9305,16.7109,14.0,0.7499590192489938,-0.020274368062700925
GBGR,337,50.6437,50.9305,16.7109,14.0,0.793967749829853,-0.01805666716645572
GBGR,338,50.6637,50.9305,16.7109,14.0,0.7059216133273325,0.00038286300503668276
GBGR,347,50.7236,50.9305,9.5491,14.0,0.7880611195895407,-1.2506094170695884e-05
GBGR,36,50.7836,50.9305,11.9363,14.0,0.7546975210250602,-0.02812743750076287
GBGR,364,50.9434,50.9305,9.5491,14.0,0.40870870491762157,-0.016162711585510865
GBGR,4,50.4839,50.9305,9.5491,14.0,0.8007378146051711,-0.0007140210313716258
GBGR,50,50.8435,50.9305,11.9363,14.0,0.7020882171795291,-0.02775100968759163
GBGR,6,50.8235,50.9305,14.3236,14.0,0.7787807503523074,-0.010651931197010316
GBGR,69,50.7436,50.9305,9.5491,14.0,0.719150752456317,-0.020217018142368454
GBGR,9,50.7037,50.9305,14.3236,14.0,0.769356927597415,-0.017136945020920488
GREEN,10,50.3441,50.9305,0,14.0,0.4213051000662653,-0.02159509544659118
GREEN,101,50.7436,50.9305,0,14.0,0.39217249448723457,-0.03323713249045722
GREEN,104,50.384,50.9305,0,14.0,0.29460304372373647,-0.04051296147606594
GREEN,107,50.424,50.9305,23.8727,14.0,0.4171326236027212,-0.024023327520957757
GREEN,108,50.5039,50.9305,0,14.0,0.36894591114066955,-0.03090082062368412
GREEN,109,50.424,50.9305,0,14.0,0.35316558050372093,-0.03241927699773582
GREEN,135,59.6937,50.9305,0,14.0,0.22623376375778204,-0.008634963981954588
GREEN,151,50.424,50.9305,0,14.0,0.4425699040522858,-0.020206971634104377
GREEN,18,47.1077,50.9305,11.9363,14.0,0.49411614984010155,0.003707247909205625
GREEN,188,50.5638,50.9305,0,14.0,0.34011837065540595,-0.034839084343307666
GREEN,199,42.9922,50.9305,0,14.0,0.32717012191802086,0.004967427012064313
GREEN,266,50.2841,50.9305,0,14.0,0.46764469398406483,0.01642120569091768
GREEN,280,50.0044,50.9305,0,14.0,0.4341564992501201,0.03429078687028125
GREEN,299,50.0444,50.9305,0,14.0,0.4156268269125454,0.017004730417960648
GREEN,330,50.4639,50.9305,23.8727,14.0,0.5306113719652539,0.010539444994939744
GREEN,333,49.9245,50.9305,0,14.0,0.3810891971934861,0.032900420916625525
GREEN,336,50.2042,50.9305,14.3236,14.0,0.43264832327716285,0.0003964673146327109
GREEN,337,50.3241,50.9305,0,14.0,0.48464910144079487,-0.004006578628033636
GREEN,338,50.2642,50.9305,0,14.0,0.4051860849113629,-0.0017847469368662192
GREEN,347,50.3441,50.9305,23.8727,14.0,0.463649300568046,0.017738036874991328
GREEN,36,50.6637,50.9305,21.4854,14.0,0.39690490774056497,-0.030062261438681726
GREEN,364,44.9101,50.9305,21.4854,14.0,0.3266663152991478,0.02751996910632293
GREEN,4,50.3041,50.9305,0,14.0,0.44587858580091433,0.0014913550696975877
GREEN,50,50.4839,50.9305,0,14.0,0.2949703344501513,-0.033713976710455874
GREEN,6,50.4639,50.9305,23.8727,14.0,0.43441945959935335,-0.015459761808768185
