Timestamp,ECGValue,BPM
1637362,342,65
1637369,351,65
1637383,325,65
1637393,362,65
1637402,340,65
1637414,348,65
1637419,377,65
1637435,348,65
1637445,386,65
1637452,386,65
1637466,379,65
1637476,413,65
1637485,381,65
1637497,382,65
1637503,364,65
1637517,319,65
1637519,339,65
1637537,308,65
1637545,304,65
1637553,327,65
1637569,294,65
1637578,318,65
1637586,314,65
1637586,298,65
1637603,327,65
1637619,299,65
1637630,312,65
1637636,323,65
1637650,293,65
1637652,327,65
1637669,307,65
1637681,306,65
1637691,331,65
1637701,300,65
1637711,326,65
1637719,322,65
1637732,304,65
1637743,337,65
1637752,306,65
1637763,322,65
1637770,333,65
1637784,303,65
1637791,336,65
1637803,320,65
1637803,316,65
1637825,342,65
1637834,307,65
1637846,334,65
1637852,329,65
1637866,312,65
1637869,344,65
1637885,314,65
1637896,324,65
1637903,338,65
1637903,308,65
1637928,341,65
1637936,325,65
1637948,317,65
1637958,346,65
1637969,313,65
1637976,338,65
1637985,335,65
1637999,317,65
1638003,357,65
1638019,328,65
1638029,338,65
1638037,350,65
1638037,310,65
1638061,340,65
1638069,323,65
1638081,318,65
1638086,343,65
1638102,311,65
1638112,334,65
1638120,332,65
1638132,312,65
1638143,349,65
1638152,321,65
1638164,331,65
1638169,348,65
1638185,321,65
1638186,371,65
1638202,455,65
1638215,496,65
1638226,422,65
1638236,251,65
1638246,336,65
1638252,333,65
1638266,310,65
1638275,345,65
1638286,320,65
1638297,330,65
1638303,347,65
1638310,316,65
1638328,348,65
1638336,334,65
1638348,325,65
1638359,358,65
1638369,328,65
1638375,351,65
1638386,358,65
1638400,342,65
1638410,384,65
1638420,368,65
1638428,384,65
1638441,410,65
1638451,378,65
1638461,400,65
1638468,366,65
1638481,336,65
1638492,348,65
1638502,304,65
1638502,317,65
1638519,322,65
1638529,296,65
1638536,329,65
1638553,305,65
1638564,312,65
1638574,329,65
1638585,296,65
1638595,325,65
1638603,316,65
1638603,304,65
1638619,335,65
1638636,303,65
1638647,320,65
1638652,328,65
1638652,301,65
1638676,336,65
1638685,313,65
1638698,317,65
1638707,338,65
1638718,306,65
1638728,332,65
1638736,323,65
1638739,309,65
1638753,343,65
1638769,312,65
1638779,327,65
1638785,333,65
1638800,305,65
1638811,338,65
1638819,315,65
1638819,317,65
1638837,338,65
1638852,307,65
1638853,337,65
1638869,330,65
1638882,314,65
1638886,345,65
1638902,314,65
1638913,329,65
1638919,340,65
1638934,312,65
1638944,345,65
1638953,324,65
1638965,320,65
1638975,343,65
1638985,312,65
1638995,339,65
1639003,329,65
1639016,321,65
1639026,354,65
1639036,325,65
1639046,341,65
1639057,343,65
1639066,306,65
1639077,340,65
1639086,321,65
1639086,315,65
1639102,338,65
1639118,306,65
1639128,332,65
1639135,328,65
1639148,309,65
1639159,342,65
1639169,313,65
1639180,326,65
1639186,337,65
1639191,320,65
1639202,387,65
1639219,487,64
1639231,476,64
1639236,352,64
1639236,262,64
1639253,339,64
1639269,327,64
1639283,306,64
1639286,341,64
1639302,312,64
1639313,324,64
1639319,338,64
1639333,310,64
1639344,343,64
1639353,328,64
1639364,324,64
1639375,355,64
1639385,322,64
1639395,351,64
1639402,357,64
1639416,344,64
1639426,385,64
1639437,367,64
1639447,386,64
1639457,408,64
1639467,375,64
1639469,395,64
1639486,357,64
1639495,327,64
1639503,340,64
1639519,299,64
1639529,313,64
