Timestamp,ECGValue,BPM
590405,297,69
590418,330,69
590428,288,69
590438,311,69
590445,315,69
590459,283,69
590469,329,69
590479,299,69
590479,305,69
590500,328,69
590510,288,69
590521,326,69
590529,314,69
590541,301,69
590552,339,69
590562,297,69
590567,322,69
590579,328,69
590592,295,69
590595,341,69
590613,305,69
590623,308,69
590634,336,69
590644,294,69
590653,332,69
590662,316,69
590675,301,69
590679,341,69
590695,299,69
590706,326,69
590712,334,69
590725,301,69
590736,343,69
590745,313,69
590745,320,69
590762,345,69
590771,308,69
590787,355,69
590796,342,69
590808,325,69
590817,353,69
590828,307,69
590839,335,69
590845,340,69
590860,304,69
590869,347,69
590878,320,69
590890,318,69
590895,346,69
590911,308,69
590921,348,69
590928,334,69
590942,315,69
590952,360,69
590962,327,69
590972,434,70
590979,531,70
590992,402,70
591003,288,70
591012,315,70
591023,324,70
591029,352,70
591044,310,70
591046,350,70
591062,339,70
591072,326,70
591078,366,70
591096,325,70
591106,349,70
591112,359,70
591127,330,70
591137,374,70
591146,351,70
591146,357,70
591167,388,70
591177,355,70
591179,401,70
591195,400,70
591195,392,70
591219,435,70
591228,392,70
591228,397,70
591245,379,70
591260,321,70
591270,352,70
591279,313,70
591290,311,70
591295,335,70
591311,295,70
591322,328,70
591329,321,70
591342,299,70
591352,340,70
591361,297,70
591373,321,70
591378,331,70
591393,295,70
591395,340,70
591412,314,70
591424,316,70
591429,344,70
591445,303,70
591455,338,70
591462,330,70
591475,310,70
591485,348,70
591496,309,70
591506,332,70
591514,337,70
591527,301,70
591537,347,70
591545,317,70
591545,319,70
591568,348,70
591578,306,70
591588,342,70
591596,333,70
591596,312,70
591619,358,70
591629,322,70
591629,341,70
591646,353,70
591660,309,70
591671,344,70
591679,316,70
591691,317,70
591696,343,70
591712,304,70
591719,336,70
591729,325,70
591743,307,70
591745,344,70
591762,306,70
591772,330,70
591779,341,70
591794,312,70
591795,361,70
591812,398,70
591824,494,70
591829,430,70
591845,254,70
591856,327,70
591862,328,70
591875,307,70
591886,349,70
591895,312,70
591906,332,70
591912,345,70
591927,312,70
591937,354,70
591945,329,70
591958,330,70
591968,363,70
591978,324,70
591989,361,70
591995,359,70
592009,344,70
592019,393,70
592028,366,70
592040,394,70
592046,412,70
592061,387,70
592070,424,70
592079,378,70
592091,350,70
592102,359,70
592112,301,70
592123,325,70
592129,316,70
592142,289,70
592153,329,70
592162,288,70
592164,307,70
592178,318,70
592194,277,70
592205,320,70
592212,297,70
592220,296,70
592229,328,70
592246,287,70
592256,326,70
592262,319,70
592276,294,70
592279,336,70
592295,299,70
592307,316,70
592312,330,70
592327,294,70
592338,333,70
592346,307,70
592346,306,70
592365,335,70
592379,296,70
592389,329,70
592395,324,70
592409,301,70
592420,348,70
592429,313,70
592429,329,70
592445,342,70
592461,294,70
592471,331,70
592479,310,70
