Timestamp,ECGValue,BPM
3079942,302,62
3079944,306,62
3079959,302,62
3079972,308,62
3079976,306,62
3079992,303,62
3079992,308,62
3080008,307,62
3080023,308,62
3080034,309,62
3080042,306,62
3080042,308,62
3080059,307,62
3080075,307,62
3080085,312,62
3080092,309,62
3080092,311,62
3080111,311,62
3080120,309,62
3080137,314,62
3080142,310,62
3080157,315,62
3080159,315,62
3080177,314,62
3080188,318,62
3080192,315,62
3080209,317,62
3080219,321,62
3080226,318,62
3080231,320,62
3080250,321,62
3080259,320,62
3080270,326,62
3080281,321,62
3080290,324,62
3080292,325,62
3080310,322,62
3080321,330,62
3080327,327,62
3080342,324,62
3080352,331,62
3080359,326,62
3080359,332,62
3080383,329,62
3080392,328,62
3080404,334,62
3080414,331,62
3080424,332,62
3080432,333,62
3080443,331,62
3080455,335,62
3080465,334,62
3080476,333,62
3080486,332,62
3080496,332,62
3080507,342,62
3080516,349,62
3080526,347,62
3080538,349,62
3080542,341,62
3080557,339,62
3080568,338,62
3080576,333,62
3080589,336,62
3080599,338,62
3080609,335,62
3080609,330,62
3080626,360,62
3080639,565,60
3080650,659,60
3080658,633,60
3080671,230,60
3080678,297,60
3080691,334,60
3080702,318,60
3080709,315,60
3080721,318,60
3080726,324,60
3080743,322,60
3080752,330,60
3080760,330,60
3080773,331,60
3080784,340,60
3080792,332,60
3080804,342,60
3080810,344,60
3080825,349,60
3080835,354,60
3080842,354,60
3080856,364,60
3080866,371,60
3080875,375,60
3080882,387,60
3080893,392,60
3080907,397,60
3080918,404,60
3080926,400,60
3080934,395,60
3080943,378,60
3080958,351,60
3080959,335,60
3080975,316,60
3080985,307,60
3080993,303,60
3081009,300,60
3081009,300,60
3081027,299,60
3081041,301,60
3081046,304,60
3081058,300,60
3081071,309,60
3081082,303,60
3081092,306,60
3081102,309,60
3081109,306,60
3081122,307,60
3081133,307,60
3081144,306,60
3081153,309,60
3081159,308,60
3081175,307,60
3081185,311,60
3081193,307,60
3081193,310,60
3081208,309,60
3081225,305,60
3081235,309,60
3081244,306,60
3081256,314,60
3081266,310,60
3081275,309,60
3081288,314,60
3081296,313,60
3081307,315,60
3081317,315,60
3081327,313,60
3081331,318,60
3081346,318,60
3081359,318,60
3081369,322,60
3081376,320,60
3081390,322,60
3081393,324,60
3081408,321,60
3081408,328,60
3081431,324,60
3081441,321,60
3081452,328,60
