Timestamp,ECGValue,BPM
1262279,353,62
1262289,315,62
1262299,307,62
1262310,308,62
1262320,284,62
1262331,304,62
1262340,292,62
1262352,289,62
1262362,308,62
1262371,286,62
1262382,306,62
1262392,307,62
1262402,292,62
1262413,318,62
1262423,298,62
1262434,306,62
1262444,314,62
1262454,296,62
1262464,314,62
1262475,303,62
1262484,302,62
1262495,320,62
1262505,297,62
1262516,314,62
1262525,315,62
1262535,299,62
1262546,323,62
1262556,305,62
1262567,312,62
1262577,324,62
1262587,302,62
1262598,323,62
1262608,315,62
1262618,312,62
1262629,330,62
1262638,308,62
1262649,322,62
1262659,324,62
1262669,309,62
1262679,335,62
1262690,317,62
1262701,323,62
1262711,333,62
1262721,310,62
1262731,334,62
1262742,327,62
1262752,321,62
1262762,339,62
1262772,318,62
1262783,339,62
1262792,351,62
1262803,334,62
1262813,357,62
1262824,337,62
1262834,330,62
1262844,340,62
1262854,315,62
1262865,337,62
1262875,330,62
1262885,322,62
1262895,346,62
1262906,316,62
1262916,340,62
1262926,526,63
1262937,653,63
1262947,653,63
1262957,311,63
1262968,235,63
1262977,334,63
1262987,307,63
1262998,325,63
1263008,316,63
1263018,307,63
1263029,332,63
1263039,311,63
1263049,328,63
1263059,333,63
1263069,321,63
1263080,345,63
1263091,330,63
1263100,336,63
1263111,354,63
1263121,335,63
1263131,363,63
1263141,358,63
1263152,354,63
1263162,380,63
1263173,368,63
1263183,384,63
1263193,398,63
1263203,391,63
1263213,418,63
1263223,406,63
1263234,407,63
1263244,416,63
1263254,375,63
1263264,369,63
1263274,339,63
1263285,310,63
1263295,316,63
1263306,287,63
1263316,292,63
1263327,300,63
1263337,283,63
1263347,304,63
1263358,291,63
1263368,295,63
1263378,312,63
1263388,289,63
1263398,309,63
1263408,302,63
1263419,291,63
1263429,315,63
1263439,286,63
1263450,296,63
1263460,304,63
1263470,286,63
1263481,306,63
1263490,295,63
1263500,293,63
1263512,308,63
1263521,287,63
1263532,305,63
1263542,301,63
1263553,289,63
1263562,313,63
1263573,292,63
1263583,298,63
1263593,309,63
1263603,287,63
1263614,313,63
1263624,299,63
1263635,295,63
1263645,320,63
1263655,308,63
1263666,323,63
1263676,323,63
1263686,305,63
1263696,319,63
1263706,297,63
1263716,305,63
1263727,316,63
1263737,292,63
1263748,316,63
1263758,307,63
1263768,296,63
1263778,321,63
1263788,464,63
1263799,652,64
1263809,652,64
1263819,257,64
1263830,229,64
1263840,293,64
1263850,297,64
1263860,303,64
1263871,287,64
1263881,308,64
1263891,304,64
1263902,301,64
1263911,323,64
1263921,301,64
1263932,320,64
1263943,325,64
1263953,312,64
1263963,342,64
1263973,328,64
1263984,335,64
1263994,352,64
1264004,335,64
1264015,365,64
1264024,360,64
1264035,361,64
1264044,390,64
1264055,376,64
1264066,396,64
1264076,403,64
1264087,391,64
1264097,412,64
1264106,379,64
1264117,357,64
1264127,344,64
1264138,301,64
1264148,306,64
1264158,286,64
1264168,274,64
1264178,294,64
1264189,274,64
1264199,288,64
1264209,289,64
1264220,274,64
1264230,297,64
1264240,283,64
1264251,288,64
1264260,304,64
1264271,282,64
1264281,301,64
1264292,296,64
1264302,285,64
1264312,307,64
1264322,284,64
1264333,297,64
1264342,300,64
1264353,283,64
1264363,307,64
1264374,293,64
1264384,295,64
1264394,310,64
1264405,288,64
1264415,308,64
1264425,303,64
1264435,293,64
1264445,318,64
1264456,297,64
1264466,309,64
1264476,315,64
1264487,298,64
1264497,321,64
1264507,306,64
1264518,308,64
1264528,326,64
1264538,302,64
1264549,324,64
1264559,318,64
1264569,308,64
1264579,331,64
1264589,311,64
1264599,321,64
1264610,325,64
1264620,308,64
1264630,334,64
1264640,319,64
1264651,316,64
1264661,340,64
1264672,326,64
1264681,346,64
1264692,339,64
1264702,324,64
1264712,339,64
1264722,316,64
1264733,323,64
1264743,332,64
1264754,311,64
1264764,338,64
1264774,326,64
1264784,318,64
1264794,338,64
1264805,463,64
1264815,652,65
1264825,653,65
1264835,403,65
1264846,233,65
1264856,318,65
1264866,315,65
1264877,314,65
1264887,297,65
1264897,320,65
1264907,313,65
1264918,309,65
1264928,329,65
1264939,309,65
1264949,329,65
1264959,330,65
1264969,320,65
1264980,344,65
1264990,327,65
1265000,336,65
1265010,349,65
1265020,334,65
1265031,363,65
1265040,356,65
1265051,356,65
1265062,384,65
1265072,367,65
1265081,392,65
1265092,396,65
1265103,386,65
1265113,412,65
1265123,389,65
1265133,380,65
1265143,367,65
1265154,325,65
1265164,330,65
1265175,303,65
1265185,292,65
1265195,308,65
1265205,286,65
1265216,301,65
1265226,302,65
1265236,286,65
1265246,312,65
1265256,294,65
1265267,298,65
1265277,311,65
1265287,287,65
1265298,308,65
1265308,300,65
1265318,294,65
1265328,315,65
1265338,291,65
1265349,305,65
1265358,306,65
1265370,290,65
1265380,315,65
1265390,297,65
1265400,301,65
1265410,317,65
1265420,295,65
1265431,315,65
1265441,307,65
1265451,298,65
1265462,321,65
1265472,299,65
1265482,316,65
1265493,318,65
1265503,301,65
1265513,326,65
1265523,308,65
1265534,310,65
1265543,327,65
1265554,304,65
1265565,325,65
1265575,318,65
1265585,309,65
1265595,332,65
1265606,311,65
1265616,324,65
1265625,330,65
1265636,311,65
1265646,336,65
1265656,319,65
1265667,323,65
