Timestamp,ECGValue,BPM
1815593,316,106
1815604,283,106
1815613,305,106
1815620,309,106
1815634,284,106
1815645,326,106
1815653,307,106
1815665,316,106
1815673,344,106
1815673,316,106
1815696,351,106
1815703,344,106
1815716,334,106
1815727,369,106
1815737,340,106
1815747,365,106
1815753,387,106
1815767,370,106
1815778,422,106
1815786,407,106
1815799,411,107
1815809,432,107
1815819,381,107
1815828,381,107
1815837,339,107
1815837,294,107
1815853,309,107
1815868,264,107
1815881,282,107
1815891,297,107
1815901,271,107
1815903,313,107
1815920,294,107
1815932,290,107
1815937,317,107
1815953,278,107
1815954,300,107
1815970,294,107
1815983,272,107
1815993,304,107
1816003,271,107
1816014,287,107
1816023,308,107
1816023,282,107
1816037,324,107
1816053,310,107
1816065,310,107
1816075,339,107
1816085,302,107
1816096,322,107
1816103,317,107
1816117,292,107
1816127,326,107
1816136,290,107
1816147,304,107
1816153,322,107
1816168,288,107
1816178,322,107
1816187,305,107
1816199,300,107
1816209,332,107
1816219,300,107
1816230,326,107
1816237,328,107
1816250,305,107
1816261,345,107
1816270,317,107
1816281,326,107
1816287,346,107
1816292,310,107
1816311,343,107
1816320,327,107
1816332,315,107
1816342,349,107
1816353,315,107
1816363,340,107
1816370,348,107
1816383,325,107
1816387,362,107
1816403,340,107
1816414,358,107
1816420,385,107
1816435,348,107
1816445,383,107
1816454,367,107
1816465,354,107
1816471,389,107
1816477,360,107
1816497,381,107
1816503,386,107
1816512,359,107
1816520,389,107
1816537,354,107
1816548,461,109
1816553,659,109
1816568,659,109
1816579,525,109
1816588,261,109
1816598,340,109
1816603,391,109
1816620,351,109
1816630,368,109
1816637,376,109
1816651,346,109
1816653,379,109
1816669,356,109
1816681,357,109
1816687,384,109
1816687,352,109
1816711,390,109
1816721,392,109
1816732,382,109
1816743,421,109
1816753,390,109
1816763,404,109
1816769,413,109
1816784,377,109
1816794,413,109
1816803,396,109
1816814,402,109
1816822,444,109
1816835,425,109
1816837,464,109
1816854,469,109
1816866,440,109
1816877,454,109
1816886,388,109
1816896,363,109
1816903,349,109
1816917,299,109
1816928,327,109
1816937,309,109
1816948,311,109
1816953,348,109
1816969,317,109
1816972,347,109
1816987,341,109
1816987,309,109
1817010,339,109
1817020,302,109
1817030,307,109
1817037,320,109
1817037,287,109
1817061,323,109
1817070,307,109
1817081,298,109
1817087,330,109
1817087,296,109
1817112,323,109
1817120,326,109
1817125,300,109
1817143,335,109
1817153,304,109
1817163,311,109
1817170,329,109
1817170,291,109
1817194,318,109
1817203,300,109
1817215,286,109
1817225,314,109
1817236,278,109
1817246,301,109
1817253,310,109
1817266,287,109
1817277,327,109
1817286,302,109
1817298,305,109
1817304,331,109
1817316,293,109
1817324,323,109
1817337,309,109
1817348,292,109
1817359,326,109
1817368,291,109
1817379,313,109
1817386,323,109
1817400,296,109
1817410,335,109
1817420,310,109
1817431,312,109
1817437,334,109
1817437,296,109
1817461,329,109
1817469,320,109
1817482,303,109
1817486,341,109
1817502,318,109
1817513,341,109
1817519,349,109
1817533,316,109
1817536,347,109
1817553,315,109
1817563,308,109
1817573,335,109
1817585,298,109
1817588,328,109
1817603,322,109
1817616,303,109
1817624,327,109
1817636,345,109
1817646,584,111
1817654,659,111
1817667,548,111
1817678,228,111
1817687,279,111
1817687,303,111
1817703,318,111
1817718,278,111
1817729,305,111
1817736,302,111
1817749,280,111
1817760,316,111
1817770,285,111
1817775,303,111
1817787,320,111
1817787,292,111
1817811,335,111
1817820,321,111
1817831,316,111
1817837,351,111
1817851,317,111
1817854,345,111
1817870,348,111
1817882,332,111
1817892,378,111
1817903,363,111
1817913,387,111
1817920,417,111
1817934,393,111
1817944,431,111
1817953,412,111
1817965,388,111
1817970,390,111
1817970,324,111
1817986,322,111
1818004,306,111
1818016,267,111
1818026,300,111
1818036,273,111
1818047,282,111
1818054,306,111
1818054,272,111
1818070,306,111
1818086,293,111
1818098,278,111
1818108,310,111
1818119,271,111
1818129,289,111
1818136,292,111
1818149,264,111
1818160,303,111
1818170,280,111
1818181,285,111
1818187,311,111
1818187,277,111
1818211,315,111
1818220,302,111
1818231,283,111
1818237,316,111
1818251,278,111
1818254,296,111
1818269,302,111
1818283,273,111
1818292,314,111
1818304,288,111
1818314,291,111
1818323,320,111
1818334,284,111
1818337,315,111
1818353,307,111
1818366,289,111
1818370,323,111
1818385,289,111
1818396,307,111
1818404,318,111
1818417,288,111
1818427,325,111
1818436,301,111
1818446,300,111
1818453,329,111
1818467,291,111
1818472,322,111
1818486,317,111
1818499,300,111
1818504,335,111
1818519,304,111
1818529,320,111
1818536,334,111
1818550,300,111
1818554,335,111
1818570,313,111
1818581,304,111
1818589,333,111
1818600,296,111
1818611,323,111
1818620,320,111
1818631,299,111
1818637,339,111
1818653,306,111
1818654,316,111
1818670,333,111
1818670,307,111
1818693,345,111
1818703,321,111
1818712,306,111
1818720,331,111
1818735,288,111
1818744,313,111
1818753,311,111
1818753,286,111
1818776,322,111
1818786,294,111
1818796,298,111
1818803,303,111
1818817,314,111
1818827,568,105
1818836,659,105
1818847,545,105
1818853,218,105
1818868,254,105
1818878,309,105
1818886,297,105
1818899,269,105
1818903,308,105
1818919,277,105
1818923,285,105
1818936,306,105
1818950,272,105
1818953,312,105
1818970,304,105
1818980,297,105
1818987,337,105
1819001,312,105
1819012,334,105
1819021,342,105
1819032,317,105
1819042,358,105
1819053,335,105
