Timestamp,ECGValue,BPM
2751019,310,108
2751029,316,108
2751040,322,108
2751046,561,109
2751061,659,109
2751070,635,109
2751079,241,109
2751091,248,109
2751101,318,109
2751111,304,109
2751115,279,109
2751132,310,109
2751143,286,109
2751153,296,109
2751161,315,109
2751161,289,109
2751178,323,109
2751193,317,109
2751204,309,109
2751211,337,109
2751224,312,109
2751229,334,109
2751244,336,109
2751255,319,109
2751265,359,109
2751276,343,109
2751280,353,109
2751296,382,109
2751306,366,109
2751316,406,109
2751327,408,109
2751338,406,109
2751345,441,109
2751357,411,109
2751368,415,109
2751379,388,109
2751389,328,109
2751399,334,109
2751409,292,109
2751413,280,109
2751429,293,109
2751440,261,109
2751445,286,109
2751461,275,109
2751471,262,109
2751478,291,109
2751478,262,109
2751499,281,109
2751512,287,109
2751522,265,109
2751528,298,109
2751528,278,109
2751553,280,109
2751561,300,109
2751573,272,109
2751579,300,109
2751593,292,109
2751599,279,109
2751612,310,109
2751624,280,109
2751635,293,109
2751645,301,109
2751645,278,109
2751662,310,109
2751676,288,109
2751679,290,109
2751695,313,109
2751707,286,109
2751712,318,109
2751727,309,109
2751738,293,109
2751746,328,109
2751758,300,109
2751768,313,109
2751778,324,109
2751789,297,109
2751799,328,109
2751810,310,109
2751820,306,109
2751828,327,109
2751828,298,109
2751851,323,109
2751861,319,109
2751871,305,109
2751879,337,109
2751892,310,109
2751899,325,109
2751912,337,109
2751923,309,109
2751929,341,109
2751944,324,109
2751953,321,109
2751962,343,109
2751973,313,109
2751979,337,109
2751979,334,109
2752005,319,109
2752012,351,109
2752026,323,109
2752029,336,109
2752045,348,109
2752055,320,109
2752062,352,109
2752077,334,109
2752079,327,109
2752094,362,109
2752108,337,109
2752117,359,109
2752128,352,109
2752138,332,109
2752144,354,109
2752159,325,109
2752169,332,109
2752179,348,109
2752189,319,109
2752198,347,109
2752210,334,109
2752220,320,109
2752228,369,109
2752228,534,105
2752245,659,105
2752262,658,105
2752271,272,105
2752278,292,105
2752292,327,105
2752303,318,105
2752311,327,105
2752323,299,105
2752328,329,105
2752344,317,105
2752346,310,105
2752362,342,105
2752374,317,105
2752384,341,105
2752395,344,105
2752405,326,105
2752411,360,105
2752425,336,105
2752436,344,105
2752445,364,105
2752456,341,105
2752466,376,105
2752466,370,105
2752488,371,105
2752495,413,105
2752507,396,105
2752518,426,105
2752528,439,105
2752529,422,105
2752545,455,105
2752559,420,105
2752562,400,105
2752578,383,105
2752590,324,105
2752599,329,105
2752610,303,105
2752620,285,105
2752628,308,105
2752641,275,105
2752651,290,105
2752662,294,105
2752672,270,105
2752679,302,105
2752679,278,105
2752702,280,105
2752712,301,105
2752723,270,105
2752729,296,105
2752743,286,105
2752754,275,105
2752762,304,105
2752774,274,105
2752785,292,105
2752795,298,105
2752799,272,105
2752812,304,105
2752822,282,105
2752837,283,105
