Timestamp,ECGValue,BPM
1004443,304,68
1004454,320,68
1004464,318,68
1004474,308,68
1004484,326,68
1004495,310,68
1004505,320,68
1004515,322,68
1004526,310,68
1004535,331,68
1004546,313,68
1004557,317,68
1004567,329,68
1004577,314,68
1004587,325,68
1004598,323,68
1004607,316,68
1004618,334,68
1004628,315,68
1004638,328,68
1004649,328,68
1004659,318,68
1004669,329,68
1004680,320,68
1004690,324,68
1004700,343,68
1004711,324,68
1004721,338,68
1004731,334,68
1004741,320,68
1004751,336,68
1004761,318,68
1004771,327,68
1004782,332,68
1004792,317,68
1004803,330,68
1004813,290,68
1004823,278,68
1004834,450,68
1004844,645,66
1004854,652,66
1004865,456,66
1004875,264,66
1004885,351,66
1004895,296,66
1004905,310,66
1004915,313,66
1004926,303,66
1004936,326,66
1004946,310,66
1004957,321,66
1004966,328,66
1004977,315,66
1004988,337,66
1004998,330,66
1005008,325,66
1005018,350,66
1005028,333,66
1005038,349,66
1005050,357,66
1005059,349,66
1005070,373,66
1005079,364,66
1005090,364,66
1005101,382,66
1005111,355,66
1005121,353,66
1005131,330,66
1005142,306,66
1005152,313,66
1005162,292,66
1005172,297,66
1005182,303,66
1005193,289,66
1005203,306,66
1005213,297,66
1005223,296,66
1005234,316,66
1005244,290,66
1005255,310,66
1005265,307,66
1005275,297,66
1005285,316,66
1005296,300,66
1005306,309,66
1005316,310,66
1005327,301,66
1005337,311,66
1005347,305,66
1005356,301,66
1005367,316,66
1005378,298,66
1005387,314,66
1005398,313,66
1005408,298,66
1005418,321,66
1005428,304,66
1005438,313,66
1005449,318,66
1005460,304,66
1005470,321,66
1005480,315,66
1005491,311,66
1005501,327,66
1005511,308,66
1005521,327,66
1005532,322,66
1005542,309,66
1005552,333,66
1005562,311,66
1005573,320,66
1005583,330,66
1005593,313,66
1005603,328,66
1005614,320,66
1005623,319,66
1005634,344,66
1005644,325,66
1005655,334,66
1005665,331,66
1005675,318,66
1005686,335,66
1005696,319,66
1005706,323,66
1005717,328,66
1005726,311,66
1005737,329,66
1005747,316,66
1005757,261,66
1005767,334,66
1005777,539,66
1005788,652,66
1005799,650,66
1005808,270,66
1005819,328,66
1005828,314,66
1005840,301,66
1005850,315,66
1005860,298,66
1005871,318,66
1005881,312,66
1005891,315,66
1005901,325,66
1005911,319,66
1005922,325,66
1005932,332,66
1005942,320,66
1005953,344,66
1005962,337,66
1005972,339,66
1005983,362,66
1005993,344,66
1006004,368,66
1006013,367,66
1006024,368,66
1006035,383,66
1006045,366,66
1006055,363,66
1006066,344,66
1006075,310,66
1006086,320,66
1006096,298,66
1006106,298,66
1006117,308,66
1006126,287,66
1006137,305,66
1006148,304,66
1006157,293,66
1006168,318,66
1006178,298,66
1006188,308,66
1006199,317,66
1006209,298,66
1006219,319,66
1006229,306,66
1006240,306,66
1006250,319,66
1006260,300,66
1006271,313,66
1006281,310,66
1006291,303,66
1006302,319,66
1006311,301,66
1006321,311,66
1006333,318,66
1006342,303,66
1006353,320,66
1006363,309,66
1006373,308,66
1006384,321,66
1006393,308,66
1006404,316,66
1006414,320,66
1006425,311,66
1006434,326,66
1006445,312,66
1006456,316,66
1006466,327,66
1006476,311,66
1006486,328,66
1006496,322,66
1006507,314,66
1006517,332,66
1006527,310,66
1006538,330,66
1006548,326,66
1006558,322,66
1006568,335,66
1006578,316,66
1006588,322,66
1006598,329,66
1006609,311,66
1006619,329,66
1006629,315,66
1006640,314,66
1006650,326,66
1006660,298,66
1006671,276,66
1006681,351,66
1006691,551,66
1006702,651,66
1006712,571,66
1006722,237,66
1006732,329,66
1006742,304,66
1006753,311,66
1006763,307,66
1006773,305,66
1006784,325,66
1006794,308,66
1006804,323,66
1006814,325,66
1006825,315,66
1006835,335,66
1006846,326,66
1006856,333,66
1006866,349,66
1006876,333,66
1006886,356,66
1006897,359,66
1006907,356,66
1006917,381,66
1006928,365,66
1006938,383,66
1006948,386,66
1006959,370,66
1006969,372,66
1006979,333,66
1006989,314,66
1006999,315,66
1007009,291,66
1007020,307,66
1007030,295,66
1007041,292,66
1007051,312,66
1007061,293,66
1007071,304,66
1007082,310,66
1007092,297,66
1007101,315,66
1007113,306,66
1007123,304,66
1007132,323,66
1007143,295,66
1007153,318,66
1007164,309,66
1007174,303,66
1007184,319,66
1007194,303,66
1007204,315,66
1007215,316,66
1007225,302,66
1007235,318,66
1007246,308,66
1007255,309,66
1007266,322,66
1007276,304,66
1007286,318,66
1007298,320,66
1007308,304,66
1007318,325,66
1007327,311,66
1007338,316,66
1007349,325,66
1007359,307,66
1007369,325,66
1007380,318,66
1007390,312,66
1007400,328,66
1007410,312,66
1007420,322,66
1007431,330,66
1007441,326,66
1007451,338,66
1007461,324,66
1007471,323,66
1007482,331,66
1007492,314,66
1007503,333,66
1007512,322,66
1007522,319,66
1007533,332,66
1007544,289,66
1007554,275,66
1007564,415,66
1007574,626,66
1007584,652,66
1007595,515,66
1007604,259,66
1007616,346,66
1007626,301,66
1007636,312,66
1007646,309,66
1007657,304,66
1007667,323,66
1007677,308,66
1007688,323,66
1007698,325,66
1007708,314,66
1007718,338,66
1007729,325,66
1007739,333,66
1007749,345,66
1007759,333,66
1007769,356,66
1007780,354,66
1007790,351,66
1007800,374,66
1007811,362,66
1007821,373,66
1007831,378,66
1007841,361,66
1007852,357,66
1007862,323,66
1007872,312,66
1007883,314,66
1007893,292,66
1007903,306,66
1007913,301,66
1007924,295,66
1007933,314,66
1007944,297,66
1007954,306,66
1007964,314,66
1007974,296,66
1007985,320,66
1007995,304,66
1008005,306,66
1008016,318,66
1008026,301,66
1008036,318,66
1008046,311,66
1008057,305,66
1008067,320,66
1008077,304,66
1008088,313,66
1008098,315,66
1008108,303,66
1008118,320,66
1008128,309,66
1008139,310,66
1008149,325,66
1008159,309,66
1008169,322,66
1008180,318,66
1008190,311,66
1008201,327,66
1008211,311,66
1008221,318,66
1008231,326,66
1008242,312,66
1008252,331,66
1008262,317,66
1008272,321,66
1008283,330,66
1008292,314,66
1008303,327,66
1008313,323,66
1008323,326,66
1008334,341,66
1008344,325,66
1008355,328,66
1008365,335,66
1008375,317,66
1008385,333,66
1008396,325,66
1008406,319,66
1008416,332,66
1008426,308,66
1008436,282,66
1008447,308,66
1008457,515,65
1008468,652,65
1008478,651,65
1008488,313,65
1008498,314,65
1008509,319,65
1008519,310,65
1008529,303,65
1008539,303,65
1008549,321,65
1008560,306,65
1008571,319,65
1008580,323,65
1008591,315,65
1008601,335,65
1008611,320,65
1008621,330,65
1008631,343,65
1008642,331,65
1008653,351,65
1008663,349,65
1008673,351,65
1008682,372,65
1008693,361,65
1008704,369,65
1008714,381,65
1008723,367,65
1008734,372,65
1008744,333,65
1008754,321,65
1008765,315,65
1008775,292,65
1008785,312,65
1008796,292,65
1008806,294,65
1008817,312,65
1008827,287,65
1008837,306,65
1008847,308,65
1008857,296,65
1008868,314,65
1008878,307,65
1008888,300,65
1008899,320,65
1008909,300,65
1008919,317,65
1008929,311,65
1008940,305,65
1008950,321,65
1008960,304,65
1008970,311,65
1008981,318,65
1008991,301,65
1009001,320,65
1009011,309,65
1009021,313,65
1009032,323,65
1009042,306,65
1009053,320,65
1009063,315,65
1009073,312,65
1009083,325,65
1009094,311,65
1009103,318,65
1009114,326,65
1009125,306,65
1009135,328,65
1009145,321,65
1009155,316,65
1009166,329,65
1009175,312,65
1009185,328,65
1009196,324,65
1009207,315,65
1009217,333,65
1009227,314,65
1009237,324,65
1009248,340,65
1009258,318,65
1009268,338,65
1009278,322,65
1009289,322,65
1009299,333,65
1009309,315,65
1009320,326,65
1009329,326,65
1009339,313,65
1009350,331,65
1009361,286,65
1009371,270,65
1009381,414,65
1009392,624,65
1009401,652,65
1009412,529,65
1009421,254,65
1009432,351,65
1009443,293,65
1009453,309,65
1009463,310,65
1009473,302,65
1009483,320,65
1009494,308,65
1009504,318,65
1009515,325,65
1009524,313,65
1009534,332,65
1009545,324,65
1009555,325,65
1009565,348,65
1009575,328,65
1009586,349,65
1009596,352,65
1009607,350,65
1009616,369,65
1009628,362,65
