Timestamp,ECGValue,BPM
517862,312,70
517872,307,70
517883,315,70
517893,311,70
517903,311,70
517913,315,70
517923,311,70
517934,315,70
517944,313,70
517955,313,70
517965,318,70
517972,312,70
517984,317,70
517996,317,70
518005,311,70
518016,321,70
518027,313,70
518036,324,70
518047,332,70
518056,323,70
518067,325,70
518078,321,70
518087,319,70
518098,323,70
518109,317,70
518119,319,70
518129,318,70
518139,315,70
518149,297,70
518158,267,70
518170,411,70
518181,644,69
518191,653,69
518201,530,69
518211,256,69
518221,335,69
518229,309,69
518242,300,69
518250,307,69
518263,309,69
518271,308,69
518280,316,69
518292,315,69
518304,319,69
518313,325,69
518321,321,69
518334,330,69
518343,331,69
518355,333,69
518365,343,69
518376,342,69
518384,352,69
518396,360,69
518406,362,69
518416,372,69
518426,370,69
518437,373,69
518446,367,69
518457,342,69
518467,328,69
518478,310,69
518488,301,69
518499,303,69
518508,296,69
518518,300,69
518529,301,69
518539,299,69
518550,307,69
518560,303,69
518570,306,69
518581,310,69
518591,305,69
518601,312,69
518610,309,69
518620,309,69
518632,314,69
518642,308,69
518652,313,69
518661,313,69
518673,309,69
518682,315,69
518692,309,69
518704,312,69
518713,315,69
518724,310,69
518734,316,69
518744,313,69
518756,312,69
518764,317,69
518776,312,69
518786,317,69
518796,317,69
518806,314,69
518816,322,69
518826,317,69
518837,319,69
518847,323,69
518858,315,69
518868,324,69
518878,319,69
518889,329,69
518899,336,69
518909,328,69
518918,328,69
518929,325,69
518940,321,69
518949,326,69
518960,319,69
518970,321,69
518981,324,69
518991,318,69
519001,294,69
519011,274,69
519021,436,69
519032,650,68
519042,653,68
519053,489,68
519064,266,68
519074,336,68
519083,309,68
519093,301,68
519103,306,68
519114,311,68
519125,308,68
519135,317,68
519145,317,68
519155,317,68
519165,325,68
519176,322,68
519185,329,68
519196,333,68
519207,333,68
519217,344,68
519226,345,68
519238,352,68
519247,362,68
519258,361,68
519268,371,68
519278,371,68
519289,372,68
519298,367,68
519310,339,68
519320,323,68
519329,309,68
519341,299,68
519349,303,68
519361,298,68
519371,299,68
519381,302,68
519391,298,68
519401,305,68
519413,302,68
519423,302,68
519433,309,68
519443,305,68
519453,311,68
519462,310,68
519474,307,68
519483,313,68
519493,307,68
519503,310,68
519514,314,68
519525,307,68
519535,314,68
519545,311,68
519556,309,68
519566,316,68
519576,310,68
519586,315,68
519596,315,68
519607,312,68
519617,318,68
519626,312,68
519638,316,68
519648,320,68
519659,315,68
519668,321,68
519679,317,68
519690,318,68
519699,324,68
519710,319,68
519719,321,68
519729,320,68
519741,318,68
519750,325,68
519760,331,68
519771,331,68
519782,331,68
519792,321,68
519801,325,68
519813,323,68
519823,321,68
519833,325,68
519844,319,68
519854,322,68
519863,319,68
519874,278,68
519884,294,68
519894,493,68
519904,652,68
519915,652,68
519925,373,68
519934,293,68
519945,333,68
519955,301,68
519966,308,68
519977,303,68
519986,310,68
519998,312,68
520008,312,68
520018,320,68
520027,317,68
520037,323,68
520047,328,68
520058,326,68
520068,335,68
520078,336,68
520089,340,68
520099,350,68
520110,349,68
520119,361,68
520131,365,68
520141,365,68
520151,374,68
520162,369,68
520172,358,68
520181,340,68
520192,317,68
520201,310,68
520212,300,68
520222,296,68
520233,302,68
520244,295,68
520253,301,68
520263,302,68
520274,300,68
520285,307,68
520295,303,68
520305,307,68
520316,308,68
520325,304,68
520337,311,68
520347,308,68
520356,308,68
520366,312,68
520376,306,68
520387,311,68
520397,310,68
520408,307,68
520418,313,68
520428,308,68
520439,311,68
520449,313,68
520459,307,68
520469,315,68
520480,312,68
520490,312,68
520499,318,68
520511,312,68
520520,316,68
520530,316,68
520541,315,68
520552,320,68
520562,315,68
520571,319,68
520579,322,68
520593,318,68
520603,325,68
520612,318,68
520624,321,68
520632,323,68
520644,327,68
520654,333,68
520664,332,68
520675,325,68
520685,329,68
520695,323,68
520705,324,68
520716,326,68
520727,320,68
520737,326,68
520747,322,68
520756,295,68
520768,278,68
520777,419,68
520787,649,69
520797,653,69
520809,530,69
520819,268,69
520828,337,69
520840,310,69
520849,309,69
520859,306,69
520868,313,69
520880,311,69
520890,314,69
520899,321,69
520912,319,69
520920,326,69
520928,328,69
520941,327,69
520950,337,69
520963,335,69
520971,343,69
520980,349,69
520993,352,69
521002,364,69
521012,365,69
521023,370,69
521035,379,69
521045,374,69
521055,372,69
521065,349,69
521074,325,69
521086,316,69
521095,302,69
521106,303,69
521116,303,69
521127,296,69
521137,303,69
521146,299,69
521156,301,69
521168,306,69
521178,302,69
521189,311,69
521199,309,69
521209,306,69
521219,313,69
521230,308,69
521240,312,69
521250,313,69
521260,307,69
521269,313,69
521281,307,69
521290,308,69
521300,311,69
521310,305,69
521321,311,69
521332,308,69
521342,310,69
521352,314,69
521362,306,69
521373,310,69
521383,312,69
521394,307,69
521403,313,69
521414,311,69
521422,312,69
521434,314,69
521444,307,69
521455,313,69
521466,313,69
521476,313,69
521486,316,69
521496,313,69
521506,312,69
521516,317,69
521526,325,69
521536,328,69
521547,321,69
521557,316,69
521567,320,69
521579,313,69
521588,319,69
521598,314,69
521608,312,69
521619,317,69
521630,302,69
521640,270,69
521650,326,69
521660,548,69
521670,652,69
521681,634,69
521689,245,69
521701,313,69
521712,309,69
521722,296,69
521731,298,69
521741,297,69
521752,304,69
521762,301,69
521773,310,69
521783,312,69
521793,312,69
521803,321,69
521815,319,69
521825,325,69
521835,332,69
521845,333,69
521855,348,69
521866,350,69
521876,353,69
521887,369,69
521897,368,69
521906,374,69
521916,381,69
521926,372,69
521936,355,69
521948,325,69
521958,308,69
521969,302,69
521979,291,69
521989,292,69
521999,291,69
522009,289,69
522020,296,69
522029,295,69
522040,298,69
522049,301,69
522061,299,69
522071,307,69
522082,305,69
522089,305,69
522102,312,69
522111,307,69
522123,313,69
522131,312,69
522142,309,69
522153,315,69
522163,310,69
522173,312,69
522183,314,69
522194,312,69
522205,320,69
522215,316,69
522225,317,69
522235,319,69
522244,318,69
522256,322,69
522267,321,69
522277,319,69
522287,323,69
522297,319,69
522307,323,69
522317,322,69
522326,320,69
522338,324,69
522348,331,69
522359,331,69
522369,334,69
522378,325,69
522389,328,69
522400,326,69
522409,323,69
522420,327,69
522430,321,69
522440,323,69
522451,324,69
522462,288,69
522472,291,69
522480,465,69
522491,650,69
522502,652,69
522512,381,69
522523,275,69
522532,336,69
522543,304,69
522553,313,69
522563,309,69
522574,316,69
522583,320,69
522593,316,69
522604,326,69
522616,324,69
522626,327,69
522636,333,69
522646,331,69
522656,340,69
522666,343,69
522677,346,69
522686,358,69
522696,360,69
522708,370,69
522718,376,69
522728,376,69
522738,387,69
522748,382,69
522759,366,69
522768,345,69
522779,318,69
522790,311,69
522800,303,69
522810,298,69
522819,303,69
522829,297,69
522842,302,69
522852,304,69
522860,301,69
522869,308,69
522881,306,69
522892,308,69
522903,312,69
522912,308,69
522920,314,69
522933,313,69
522942,312,69
522951,317,69
522964,310,69
522973,313,69
522985,314,69
522995,310,69
523005,316,69
523015,311,69
523024,313,69
523036,317,69
523047,309,69
523056,316,69
523067,314,69
523077,313,69
523087,320,69
523098,314,69
523108,320,69
