Timestamp,ECGValue,BPM
2198350,307,58
2198360,310,58
2198371,314,58
2198371,307,58
2198388,311,58
2198401,313,58
2198405,310,58
2198422,310,58
2198433,311,58
2198438,311,58
2198453,309,58
2198455,312,58
2198471,315,58
2198481,310,58
2198489,313,58
2198505,315,58
2198505,317,58
2198521,317,58
2198534,317,58
2198546,318,58
2198556,321,58
2198566,319,58
2198576,318,58
2198586,321,58
2198596,322,58
2198604,325,58
2198604,323,58
2198624,323,58
2198638,325,58
2198648,325,58
2198655,325,58
2198655,328,58
2198671,330,58
2198688,328,58
2198700,331,58
2198710,324,58
2198720,330,58
2198728,330,58
2198737,333,58
2198737,331,58
2198760,334,58
2198771,339,58
2198781,328,58
2198790,334,58
2198790,335,58
2198813,332,58
2198822,335,58
2198829,335,58
2198843,339,58
2198854,338,58
2198856,336,58
2198872,337,58
2198884,348,58
2198894,353,58
2198905,350,58
2198915,349,58
2198921,343,58
2198936,335,58
2198946,337,58
2198954,336,58
2198967,335,58
2198973,337,58
2198987,335,58
2198998,332,58
2199006,330,58
2199006,435,58
2199028,657,57
2199039,658,57
2199039,423,57
2199055,233,57
2199069,327,57
2199080,317,57
2199088,316,57
2199100,314,57
2199105,317,57
2199121,323,57
2199130,322,57
2199138,328,57
2199151,331,57
2199162,333,57
2199171,332,57
2199175,336,57
2199189,340,57
2199203,344,57
2199213,344,57
2199221,354,57
2199234,357,57
2199244,366,57
2199255,370,57
2199255,375,57
2199272,384,57
2199285,392,57
2199296,398,57
2199306,402,57
2199316,396,57
2199322,388,57
2199337,369,57
2199347,351,57
2199356,336,57
2199356,318,57
2199372,312,57
2199387,306,57
2199398,305,57
2199405,306,57
2199418,302,57
2199429,305,57
2199439,308,57
2199439,308,57
2199459,311,57
2199470,308,57
2199480,312,57
2199489,311,57
2199502,312,57
2199509,312,57
2199521,316,57
2199532,309,57
2199539,312,57
2199539,310,57
2199563,310,57
2199571,313,57
2199583,312,57
2199594,311,57
2199603,310,57
2199614,314,57
2199622,316,57
2199622,312,57
2199644,314,57
2199655,315,57
2199665,313,57
2199671,318,57
2199686,316,57
2199689,318,57
2199706,323,57
2199706,318,57
2199722,324,57
2199738,322,57
2199748,318,57
2199754,322,57
2199768,324,57
2199772,325,57
2199788,326,57
2199798,327,57
2199805,325,57
2199820,328,57
2199822,330,57
2199838,330,57
2199842,325,57
2199861,329,57
2199871,329,57
2199880,330,57
2199888,335,57
2199888,331,57
2199906,332,57
2199922,335,57
2199932,334,57
2199942,334,57
2199953,332,57
2199963,336,57
2199972,342,57
2199984,352,57
2199989,350,57
2200003,349,57
2200015,339,57
2200022,335,57
2200035,333,57
2200046,330,57
2200054,334,57
2200065,334,57
2200076,336,57
2200087,331,57
2200097,321,57
2200105,445,57
2200117,658,57
2200128,659,57
2200138,401,57
2200148,217,57
2200159,319,57
2200169,318,57
2200174,309,57
2200188,312,57
2200200,314,57
2200205,320,57
2200220,326,57
2200221,319,57
2200240,327,57
2200251,328,57
2200257,331,57
2200257,342,57
2200282,338,57
2200288,348,57
2200302,347,57
