Timestamp,PressureValue
3198941,8990962
3199040,8990736
3199137,8990521
3199237,8990330
3199335,8990204
3199433,8990165
3199532,8990167
3199630,8990193
3199729,8990239
3199824,8990290
3199924,8990334
3200024,8990422
3200122,8990546
3200220,8990673
3200319,8990798
3200418,8990917
3200516,8991037
3200614,8991189
3200713,8991347
3200808,8991510
3200907,8991688
3201008,8991826
3201106,8991921
3201204,8992016
3201303,8992098
3201402,8992172
3201500,8992265
3201598,8992336
3201697,8992398
3201795,8992451
3201891,8992494
3201991,8992574
3202090,8992682
3202189,8992764
3202287,8992836
3202385,8992915
3202484,8992994
3202582,8993069
3202681,8993130
3202779,8993190
3202874,8993274
3202975,8993351
3203074,8993415
3203173,8993504
3203271,8993602
3203369,8993687
3203468,8993733
3203565,8993727
3203665,8993714
3203763,8993717
3203858,8993699
3203958,8993644
3204057,8993572
3204157,8993504
3204255,8993419
3204353,8993314
3204452,8993218
3204550,8993141
3204649,8993077
3204747,8993024
3204845,8992978
3204941,8992930
3205041,8992870
3205141,8992787
3205239,8992706
3205338,8992632
3205436,8992565
3205534,8992516
3205633,8992462
3205725,8992388
3205829,8992302
3205928,8992197
3206024,8992036
3206125,8991780
3206223,8991426
3206322,8990988
3206420,8990542
3206518,8990151
3206617,8989747
3206715,8989367
3206814,8989082
3206912,8988847
3207008,8988670
3207107,8988605
3207207,8988673
3207305,8988859
3207404,8989070
3207502,8989242
3207600,8989443
3207699,8989642
3207798,8989770
3207896,8989901
3207991,8990071
3208091,8990256
3208191,8990430
3208289,8990582
3208388,8990738
3208486,8990936
3208585,8991159
3208683,8991405
3208781,8991650
3208880,8991861
3208978,8992059
3209074,8992263
3209174,8992458
3209273,8992652
3209372,8992856
3209470,8993032
3209569,8993176
3209667,8993268
3209765,8993326
3209864,8993398
3209962,8993453
3210058,8993490
3210157,8993518
3210257,8993516
3210356,8993486
3210454,8993435
3210553,8993382
3210651,8993341
3210749,8993312
3210848,8993273
3210946,8993240
3211045,8993206
3211141,8993168
3211241,8993144
3211340,8993119
3211438,8993090
3211537,8993064
3211635,8993030
3211733,8992993
3211832,8992951
3211930,8992901
3212029,8992845
3212125,8992785
3212224,8992717
3212324,8992632
3212422,8992514
3212521,8992334
3212619,8992085
3212717,8991788
3212816,8991479
3212914,8991131
3213013,8990788
3213108,8990496
3213207,8990251
3213308,8990038
3213406,8989869
3213492,8989744
3213603,8989687
3213701,8989717
3213800,8989824
3213898,8990011
3213997,8990217
3214095,8990408
3214191,8990570
3214291,8990722
3214390,8990893
3214489,8991112
3214587,8991342
3214685,8991538
3214784,8991693
3214882,8991819
3214981,8991958
3215079,8992097
3215175,8992253
3215275,8992422
3215374,8992570
3215473,8992696
3215571,8992819
3215670,8992944
3215768,8993074
3215866,8993217
3215964,8993326
3216063,8993394
3216161,8993468
3216258,8993546
3216358,8993630
3216457,8993707
3216555,8993754
3216654,8993781
3216752,8993798
3216850,8993786
3216948,8993763
3217046,8993750
3217145,8993694
3217241,8993607
3217341,8993508
3217441,8993400
3217539,8993310
3217637,8993221
3217736,8993116
3217834,8993018
3217933,8992922
3218031,8992821
3218129,8992738
3218225,8992660
3218325,8992575
3218425,8992494
3218523,8992421
3218621,8992353
