Timestamp,PressureValue
540755,8988387
540853,8988458
540952,8988524
541050,8988595
541148,8988666
541247,8988726
541345,8988775
541441,8988806
541542,8988835
541640,8988850
541739,8988838
541837,8988792
541936,8988731
542034,8988650
542132,8988540
542231,8988426
542329,8988276
542423,8988118
542523,8987965
542624,8987802
542722,8987650
542821,8987519
542920,8987401
543018,8987291
543117,8987186
543215,8987087
543313,8987012
543408,8986924
543508,8986847
543608,8986798
543706,8986755
543805,8986710
543904,8986663
544002,8986618
544101,8986586
544199,8986562
544297,8986541
544396,8986528
544490,8986516
544591,8986501
544690,8986486
544788,8986479
544888,8986470
544986,8986461
545084,8986455
545183,8986453
545281,8986443
545380,8986437
545478,8986431
545574,8986413
545674,8986399
545773,8986386
545871,8986380
545970,8986377
546068,8986375
546167,8986362
546265,8986356
546364,8986363
546462,8986360
546560,8986350
546657,8986305
546757,8986222
546856,8986103
546954,8985941
547052,8985734
547151,8985488
547249,8985231
547348,8984942
547446,8984612
547544,8984274
547641,8983950
547740,8983657
547840,8983422
547938,8983254
548036,8983114
548135,8983038
548233,8983014
548331,8983018
548430,8983099
548524,8983273
548624,8983552
548724,8983918
548823,8984292
548922,8984649
549020,8985026
549118,8985390
549217,8985722
549315,8986064
549414,8986386
549512,8986653
549608,8986843
549707,8986944
549807,8987029
549905,8987138
550004,8987249
550102,8987376
550201,8987507
550299,8987622
550397,8987714
550496,8987794
550594,8987866
550691,8987949
550791,8988007
550889,8988021
550988,8988035
551086,8988048
551185,8988054
551283,8988036
551381,8988006
551480,8987974
551578,8987930
551674,8987875
551775,8987812
551873,8987746
551971,8987649
552070,8987517
552168,8987380
552267,8987277
552365,8987192
552463,8987098
552562,8986994
552658,8986894
552758,8986802
552857,8986719
552955,8986654
553054,8986614
553151,8986570
553250,8986510
553349,8986451
553447,8986406
553545,8986373
553641,8986335
553741,8986312
553841,8986294
553939,8986284
554037,8986276
554136,8986270
554234,8986270
554333,8986272
554431,8986266
554529,8986258
554624,8986250
554724,8986240
554824,8986237
554923,8986224
555021,8986192
555120,8986118
555217,8985985
555316,8985782
555415,8985530
555513,8985248
555608,8984927
555708,8984577
555807,8984230
555907,8983895
556005,8983578
556103,8983315
556201,8983147
556300,8983105
556399,8983234
556497,8983507
556591,8983881
556691,8984288
556791,8984690
556890,8985103
556989,8985534
557087,8985977
557185,8986411
557284,8986794
557382,8987069
557481,8987268
557579,8987426
557674,8987592
557774,8987785
557874,8987976
557973,8988119
558071,8988216
558169,8988279
558267,8988332
558366,8988340
558464,8988287
558563,8988215
558661,8988098
558758,8987925
558858,8987732
558956,8987545
559055,8987364
559153,8987202
559251,8987034
559349,8986894
559448,8986792
559545,8986698
559645,8986626
559741,8986574
559842,8986519
559940,8986478
560038,8986457
560137,8986430
560235,8986416
560333,8986417
560431,8986408
560530,8986387
560629,8986350
560724,8986279
560825,8986152
560924,8985993
561022,8985824
561121,8985614
561219,8985390
561317,8985158
561416,8984920
561514,8984690
561613,8984485
561708,8984297
561808,8984159
561908,8984078
562006,8983983
562104,8983914
562203,8983875
562301,8983874
562400,8983894
562497,8983951
562595,8984038
562691,8984171
562792,8984386
562892,8984630
562990,8984915
563088,8985221
563187,8985506
563285,8985758
563383,8986010
563481,8986233
563580,8986442
563678,8986652
563774,8986793
563874,8986898
563973,8986992
564072,8987082
564170,8987179
564269,8987271
564367,8987346
564465,8987422
564564,8987474
564659,8987488
564758,8987515
564858,8987542
564957,8987552
565055,8987562
565154,8987562
565242,8987557
565342,8987574
565448,8987599
565542,8987617
565642,8987634
565742,8987638
565843,8987622
565941,8987593
566026,8987557
566138,8987514
566236,8987457
566334,8987379
566433,8987272
566531,8987155
566629,8987040
566728,8986930
566825,8986827
566924,8986732
567023,8986642
567122,8986553
567220,8986486
567318,8986430
567417,8986386
567515,8986360
567609,8986347
567709,8986336
567809,8986328
567908,8986325
568006,8986325
568104,8986323
568204,8986318
568302,8986314
568401,8986311
568499,8986312
568597,8986310
568696,8986306
568791,8986302
568892,8986302
568991,8986289
569089,8986277
569188,8986283
569286,8986288
569384,8986286
569483,8986291
569581,8986292
569679,8986298
569775,8986300
569876,8986298
569974,8986300
570073,8986312
570171,8986310
570270,8986309
570368,8986322
570466,8986326
570565,8986325
570663,8986314
570758,8986274
570858,8986159
570958,8985990
571057,8985758
571155,8985470
571253,8985177
571352,8984869
571450,8984551
571549,8984258
571646,8983996
571745,8983763
571842,8983634
