Timestamp,PressureValue
668377,9006488
668477,9005267
668576,9004034
668675,9002898
668773,9001946
668872,9001277
668970,9001115
669062,9001690
669161,9002950
669261,9004723
669361,9006754
669462,9008854
669561,9010958
669660,9012958
669759,9014729
669857,9016215
669956,9017438
670054,9018274
670144,9018610
670244,9018497
670344,9018075
670444,9017485
670546,9016805
670644,9016032
670744,9015277
670842,9014564
670939,9013843
671037,9013171
671137,9012584
671236,9012035
671327,9011442
671428,9010675
671528,9009690
671628,9008577
671728,9007402
671828,9006283
671926,9005201
672024,9004081
672123,9003011
672221,9002095
672320,9001470
672418,9001298
672511,9001579
672611,9002336
672712,9003442
672812,9004714
672911,9006217
673009,9008022
673108,9009969
673206,9011891
673305,9013618
673403,9015117
673502,9016474
673595,9017532
673695,9018203
673794,9018482
673895,9018371
673994,9017929
674093,9017246
674191,9016400
674289,9015566
674388,9014764
674486,9013951
674579,9013192
674678,9012558
674778,9012058
674879,9011468
674978,9010495
675078,9009102
675176,9007534
675275,9005918
675373,9004270
675472,9002698
675570,9001291
675661,9000081
675761,8999226
675861,8998922
675961,8999454
676061,9000779
676161,9002614
676260,9004860
676358,9007486
676457,9010180
676555,9012690
676654,9014954
676745,9016807
676845,9018275
676944,9019332
677044,9019933
677145,9020110
677244,9019855
677343,9019166
677441,9018251
677540,9017268
677638,9016290
677736,9015399
677835,9014560
677928,9013741
678028,9013057
678128,9012463
678228,9011770
678328,9010821
678426,9009678
678525,9008417
678623,9007146
678722,9005930
678820,9004738
678912,9003611
679011,9002635
679111,9002038
679212,9002034
679311,9002654
679411,9003812
679510,9005493
679608,9007450
679707,9009413
679804,9011394
679903,9013329
679994,9015054
680095,9016341
680195,9017099
680295,9017465
680395,9017480
680494,9017086
680593,9016410
680691,9015653
680790,9014850
680888,9014037
680987,9013288
681079,9012648
681178,9012098
681278,9011527
681378,9010793
681478,9009844
681578,9008717
681676,9007522
681775,9006327
681874,9005200
681972,9004113
682070,9003145
682162,9002298
682262,9001711
682361,9001722
682461,9002466
682562,9003665
682661,9005114
682760,9006880
682858,9008859
682957,9010918
683055,9012852
683153,9014675
683245,9016338
683345,9017613
683445,9018294
683545,9018550
683645,9018520
683744,9018102
683843,9017343
683941,9016434
684040,9015519
684139,9014610
684237,9013740
684329,9012918
684429,9012249
684529,9011706
684629,9011026
684729,9010016
684828,9008828
684926,9007626
685025,9006493
685123,9005449
685222,9004504
685321,9003691
685412,9003057
685512,9002704
685612,9002935
685712,9003839
685812,9005206
685911,9006915
686010,9008803
686108,9010738
686207,9012656
686305,9014446
686396,9015961
686496,9017132
686595,9017825
686696,9018119
686796,9018074
686895,9017663
686995,9016969
687093,9016118
687192,9015180
687290,9014237
687389,9013402
687487,9012698
687579,9012102
687679,9011522
687779,9010846
687880,9009921
687978,9008711
688078,9007379
688176,9006060
688275,9004885
688373,9003882
688472,9003054
688570,9002480
688663,9002232
688762,9002445
688863,9003214
688963,9004527
689062,9006280
689161,9008318
689260,9010422
689358,9012470
689457,9014390
689555,9016059
689646,9017402
689746,9018351
689847,9018932
689946,9019164
690047,9019030
690146,9018533
690245,9017762
690343,9016818
690442,9015790
690540,9014786
690639,9013902
690737,9013139
690829,9012437
690929,9011611
691029,9010506
691131,9009284
691229,9008133
691328,9007092
691426,9006102
691525,9005178
691623,9004368
691722,9003825
691821,9003706
691912,9004118
692012,9005053
692112,9006455
692212,9008186
692312,9010046
692411,9011908
692510,9013658
692608,9015180
692695,9016325
692805,9016968
692904,9017225
692995,9017293
693096,9017047
693196,9016438
693296,9015606
693396,9014730
693495,9013904
693593,9013183
693692,9012556
693790,9011944
693889,9011118
693987,9009986
694079,9008742
694179,9007518
694279,9006373
694379,9005339
694479,9004447
694578,9003728
694676,9003301
694775,9003313
694874,9003865
694972,9004906
695070,9006412
