Timestamp,PressureValue
1518063,8994563
1518163,8994294
1518263,8994540
1518361,8995265
1518460,8996318
1518558,8997610
1518656,8999218
1518755,9001265
1518846,9003610
1518947,9006005
1519046,9008230
1519146,9010157
1519246,9011724
1519345,9012995
1519444,9013973
1519542,9014583
1519640,9014661
1519738,9014111
1519832,9013091
1519931,9011843
1520031,9010459
1520131,9009108
1520230,9007894
1520328,9006766
1520427,9005768
1520525,9005016
1520624,9004486
1520714,9004103
1520814,9003830
1520914,9003629
1521014,9003438
1521114,9003118
1521213,9002518
1521313,9001653
1521411,9000552
1521509,8999290
1521607,8997947
1521697,8996687
1521796,8995619
1521897,8994816
1521997,8994229
1522096,8994024
1522197,8994489
1522296,8995603
1522395,8997412
1522492,8999846
1522580,9002574
1522680,9005266
1522788,9007838
1522880,9010031
1522980,9011794
1523079,9013050
1523180,9013702
1523280,9013841
1523379,9013428
1523477,9012434
1523575,9011148
1523674,9009788
1523772,9008347
1523863,9007008
1523963,9005952
1524063,9005198
1524164,9004678
1524263,9004312
1524362,9004063
1524461,9003917
1524559,9003818
1524658,9003648
1524756,9003262
1524854,9002532
1524947,9001467
1525047,9000278
1525146,8999057
1525246,8997898
1525346,8996875
1525445,8995920
1525543,8994972
1525642,8994309
1525740,8994247
1525839,8994919
1525930,8996102
1526030,8997509
1526130,8999053
1526230,9000822
1526330,9002922
1526429,9005216
1526526,9007469
1526625,9009269
1526724,9010512
1526822,9011325
1526913,9011842
1527013,9012104
1527113,9012130
1527213,9011779
1527313,9010859
1527413,9009579
1527511,9008349
1527609,9007393
1527708,9006618
1527806,9005899
1527905,9005281
1527996,9004808
1528096,9004459
1528196,9004178
1528296,9003894
1528396,9003430
1528495,9002629
1528592,9001525
1528692,9000257
1528790,8999006
1528888,8997837
1528980,8996763
1529080,8995787
1529180,8994988
1529279,8994502
1529380,8994490
1529479,8995021
