Timestamp,PressureValue
1381522,9001866
1381612,9001314
1381712,9000393
1381812,8999085
1381912,8997594
1382012,8996202
1382112,8994937
1382210,8993699
1382309,8992630
1382407,8991938
1382505,8991619
1382604,8991720
1382696,8992280
1382796,8993302
1382896,8994668
1382996,8996147
1383095,8997951
1383194,9000388
1383293,9003049
1383391,9005430
1383488,9007484
1383587,9009220
1383679,9010674
1383779,9011840
1383879,9012602
1383979,9012894
1384078,9012620
1384178,9011627
1384276,9010187
1384375,9008602
1384473,9007026
1384571,9005611
1384662,9004438
1384762,9003486
1384862,9002788
1384962,9002378
1385062,9002083
1385161,9001784
1385260,9001454
1385358,9000998
1385456,9000300
1385555,8999253
1385646,8997854
1385745,8996376
1385845,8994958
1385945,8993646
1386046,8992543
1386145,8991708
1386244,8991222
1386342,8991159
1386440,8991646
1386538,8992782
1386637,8994627
1386728,8996998
1386829,8999634
1386929,9002334
1387029,9004926
1387128,9007310
1387228,9009303
1387326,9010810
1387424,9011832
1387522,9012344
1387621,9012295
1387712,9011629
1387813,9010542
1387912,9009231
1388012,9007811
1388113,9006384
1388211,9005086
1388309,9004012
1388408,9003116
1388506,9002408
1388604,9001744
1388695,9000980
1388795,8999897
1388895,8998538
1388995,8997158
1389095,8995854
1389195,8994680
1389293,8993634
1389392,8992786
1389490,8992213
1389588,8992035
1389678,8992433
1389778,8993534
1389879,8995331
1389979,8997694
1390078,9000422
1390179,9003169
1390277,9005792
1390375,9008122
1390473,9009918
1390572,9011198
1390662,9011969
1390762,9012275
1390863,9012053
1390963,9011185
1391063,9009822
1391162,9008280
1391261,9006743
1391359,9005328
1391457,9004209
1391555,9003370
1391646,9002687
1391745,9002110
1391846,9001508
1391946,9000730
1392046,8999742
1392146,8998644
1392244,8997484
1392343,8996335
1392441,8995250
1392539,8994293
1392638,8993638
1392729,8993406
