Timestamp,PressureValue
2207444,8993673
2207545,8994187
2207645,8994213
2207744,8993730
2207843,8992932
2207941,8991958
2208039,8990953
2208137,8989999
2208236,8989120
2208335,8988328
2208428,8987589
2208529,8986911
2208629,8986390
2208728,8986006
2208826,8985546
2208925,8984739
2209023,8983619
2209122,8982365
2209220,8981091
2209318,8979758
2209417,8978420
2209511,8977193
2209612,8976086
2209711,8975063
2209810,8974299
2209909,8974162
2210007,8974771
2210106,8975935
2210204,8977468
2210301,8979407
2210400,8981583
2210499,8983720
2210595,8985697
2210695,8987485
2210794,8989024
2210893,8990228
2210991,8990968
2211089,8991242
2211188,8991135
2211286,8990694
2211384,8990038
2211483,8989300
2211578,8988552
2211678,8987885
2211778,8987339
2211877,8986890
2211975,8986517
2212073,8986243
2212171,8986036
2212270,8985830
2212368,8985610
2212466,8985385
2212562,8985230
2212662,8985114
2212761,8984884
2212861,8984274
2212959,8983304
2213057,8982218
2213156,8981024
2213254,8979656
2213352,8978162
2213450,8976671
2213549,8975274
2213645,8974138
2213745,8973551
2213844,8973871
2213943,8974930
2214041,8976362
2214140,8978078
2214237,8980040
2214336,8982169
2214434,8984313
2214533,8986294
2214628,8987930
2214729,8989038
2214828,8989598
2214927,8989784
2215025,8989696
2215123,8989377
2215222,8988934
2215320,8988454
2215419,8987991
2215516,8987580
2215612,8987242
2215712,8987014
2215811,8986820
2215910,8986570
2216009,8986310
2216107,8986124
2216206,8985990
2216304,8985858
2216403,8985688
2216501,8985436
2216595,8984907
2216695,8983886
2216795,8982434
2216894,8980834
2216993,8979270
2217091,8977811
2217190,8976580
2217288,8975771
2217386,8975466
2217485,8975508
2217583,8975909
2217678,8976834
2217778,8978224
2217878,8979846
2217977,8981478
2218075,8982994
2218174,8984293
2218272,8985214
2218370,8985717
2218469,8985999
2218567,8986284
2218661,8986617
2218762,8986968
2218862,8987337
2218961,8987730
2219059,8988107
2219158,8988400
2219256,8988474
2219354,8988168
2219453,8987413
2219551,8986149
2219645,8984471
2219745,8982579
2219845,8980479
2219944,8978314
2220043,8976262
2220142,8974416
2220240,8972988
2220338,8972349
2220437,8972645
2220535,8973766
2220633,8975536
2220729,8977762
2220828,8980369
2220928,8983120
2221027,8985803
2221125,8988377
2221224,8990680
2221322,8992428
2221421,8993585
2221519,8994261
2221617,8994464
2221711,8994150
2221811,8993433
2221912,8992482
2222011,8991284
2222109,8989501
2222207,8986827
2222306,8982992
2222404,8978919
2222503,8975786
2222601,8973382
2222699,8971591
2222794,8970288
2222895,8969436
2222995,8969400
2223093,8970438
2223192,8972695
2223290,8976414
2223388,8980618
2223487,8984126
2223585,8987094
2223683,8989639
2223778,8991782
2223878,8993421
2223978,8994301
2224077,8994549
2224175,8994369
2224274,8993855
2224372,8993038
2224471,8991938
2224569,8990760
2224667,8989601
2224763,8988422
2224861,8987010
2224961,8985237
2225061,8983263
2225159,8981261
2225258,8979350
2225356,8977575
2225455,8975963
2225553,8974611
2225651,8973648
2225750,8973229
2225845,8973669
2225945,8975058
2226045,8977174
2226143,8979627
2226242,8982115
2226340,8984602
2226439,8987105
2226537,8989438
2226635,8991338
2226734,8992638
2226828,8993328
2226928,8993427
2227028,8992994
2227127,8992258
2227225,8991395
2227324,8990313
2227423,8988654
2227521,8986222
2227619,8983274
2227717,8980274
2227816,8977350
2227912,8974550
2228012,8971932
2228111,8969677
2228210,8967850
2228308,8966403
2228406,8965578
2228505,8965957
2228603,8967832
2228701,8971059
2228800,8975175
2228895,8979142
2228995,8982739
2229095,8985964
2229193,8988786
2229292,8991378
2229390,8993864
2229489,8995849
2229587,8996857
2229686,8996690
2229784,8995663
2229878,8994766
2229978,8994077
2230079,8993393
2230177,8992649
2230276,8991830
2230374,8990955
2230473,8990066
2230571,8989211
2230670,8988396
2230768,8987639
2230866,8987182
2230962,8988333
2231062,8990364
2231161,8990933
2231260,8990515
2231358,8989707
2231457,8988540
2231555,8987133
2231653,8985598
2231752,8983855
2231850,8981894
2231945,8978577
2232045,8974686
2232145,8972546
2232243,8971576
2232342,8971236
2232441,8971614
2232539,8972550
