Timestamp,PressureValue
2830044,8990698
2830143,8991392
2830241,8991724
2830340,8991621
2830434,8991102
2830535,8990353
2830634,8989502
2830733,8988658
2830832,8987884
2830930,8987190
2831028,8986569
2831127,8986024
2831225,8985561
2831323,8985242
2831418,8985072
2831518,8984904
2831618,8984699
2831717,8984518
2831815,8984326
2831914,8984025
2832012,8983502
2832110,8982762
2832209,8981861
2832307,8980826
2832406,8979696
2832501,8978543
2832601,8977418
2832700,8976344
2832799,8975396
2832898,8974616
2832996,8974139
2833094,8974083
2833192,8974432
2833291,8975229
2833389,8976457
2833485,8978057
2833584,8979942
2833684,8981946
2833783,8983942
2833881,8985949
2833980,8987883
2834078,8989573
2834177,8990956
2834275,8991958
2834373,8992554
2834468,8992751
2834569,8992560
2834668,8992083
2834752,8991462
2834851,8990722
2834964,8989874
2835062,8989033
2835160,8988254
2835259,8987528
2835357,8986853
2835452,8986234
2835552,8985718
2835652,8985311
2835751,8984973
2835849,8984706
2835947,8984549
2836046,8984439
2836144,8984326
2836243,8984214
2836341,8984114
2836439,8983935
2836534,8983538
2836635,8982845
2836735,8981935
2836833,8980934
2836930,8979816
2837030,8978598
2837128,8977403
2837227,8976330
2837325,8975460
2837423,8974804
2837517,8974454
2837617,8974558
2837717,8975099
2837817,8975910
2837915,8977002
2838013,8978370
2838112,8979946
2838210,8981679
2838309,8983456
2838407,8985275
2838505,8987110
2838601,8988759
2838701,8990062
2838801,8991058
2838899,8991794
2838997,8992235
2839096,8992322
2839194,8992058
2839293,8991506
2839391,8990745
2839489,8989801
2839584,8988804
2839684,8987930
2839784,8987198
2839883,8986550
2839981,8985992
2840079,8985554
2840178,8985199
2840276,8984898
2840375,8984645
2840473,8984475
2840569,8984362
2840669,8984154
2840768,8983680
2840867,8982878
2840965,8981890
2841063,8980874
2841162,8979922
2841260,8978937
2841359,8977905
2841457,8976915
2841556,8976010
2841651,8975318
2841752,8975038
2841851,8975277
2841949,8975918
2842047,8976768
2842146,8977700
2842244,8978822
2842343,8980212
2842441,8981771
2842539,8983435
2842635,8985070
2842735,8986577
2842834,8987910
2842933,8989024
2843031,8989906
2843129,8990602
2843228,8991073
2843326,8991265
2843425,8991135
2843523,8990734
2843618,8990168
2843718,8989522
2843818,8988827
2843917,8988135
2844015,8987494
2844114,8986888
2844212,8986308
2844310,8985784
2844409,8985393
2844507,8985117
2844601,8984907
2844702,8984739
2844801,8984598
2844901,8984474
2844999,8984314
2845097,8983989
2845186,8983430
2845293,8982658
2845392,8981742
2845491,8980713
2845585,8979646
2845684,8978667
2845785,8977798
2845884,8977022
2845983,8976335
2846081,8975904
2846180,8975949
2846278,8976478
2846376,8977344
2846475,8978470
2846573,8979866
2846671,8981447
2846768,8983125
2846868,8984784
2846967,8986370
2847065,8987781
2847163,8988898
2847262,8989686
2847360,8990193
2847458,8990472
2847557,8990465
2847652,8990152
2847751,8989558
2847851,8988812
2847950,8988094
2848049,8987474
2848147,8986937
2848246,8986445
2848344,8986001
2848442,8985619
2848541,8985299
2848639,8985019
2848735,8984799
2848834,8984574
2848934,8984144
2849033,8983391
2849131,8982385
2849229,8981352
2849328,8980351
2849426,8979374
2849524,8978397
2849622,8977482
2849717,8976750
2849818,8976293
2849918,8976166
2850017,8976518
2850115,8977375
2850213,8978503
2850312,8979908
2850410,8981643
2850508,8983562
2850607,8985410
2850702,8987013
2850801,8988334
2850902,8989450
2851000,8990296
2851099,8990784
2851197,8990952
2851295,8990760
2851394,8990142
2851492,8989278
2851591,8988429
2851689,8987666
2851784,8986994
2851884,8986398
2851984,8985894
2852083,8985494
2852181,8985156
2852279,8984752
2852378,8984170
2852476,8983423
2852574,8982525
2852673,8981542
2852768,8980523
2852868,8979578
2852968,8978762
2853067,8978110
2853165,8977630
2853263,8977515
2853362,8977955
2853460,8978903
2853558,8980268
2853657,8981910
2853752,8983670
2853852,8985307
2853952,8986744
2854050,8987950
2854149,8988921
2854247,8989555
2854346,8989786
2854444,8989686
2854542,8989281
2854640,8988642
2854739,8987906
2854835,8987231
2854934,8986634
2855034,8986091
2855133,8985642
2855231,8985318
2855329,8985112
2855428,8984969
2855526,8984849
2855624,8984762
2855723,8984708
2855817,8984663
2855918,8984627
2856017,8984611
2856115,8984605
2856214,8984590
2856312,8984554
2856411,8984500
2856509,8984462
2856601,8984394
