Timestamp,PressureValue
300975,9006294
301074,9006486
301174,9006431
301272,9006119
301371,9005410
301469,9004470
301567,9003632
301658,9003030
301757,9002609
301858,9002345
301958,9002280
302058,9002241
302157,9002129
302257,9002048
302355,9002034
302454,9002029
302552,9002007
302650,9001923
302741,9001782
302841,9001578
302941,9001153
303041,9000350
303141,8999168
303241,8997899
303340,8996994
303438,8996686
303536,8996770
303635,8997137
303733,8997824
303825,8998820
303924,9000049
304025,9001470
304125,9003101
304225,9004666
304324,9005741
304421,9006137
304521,9006080
304619,9005822
304717,9005376
304808,9004666
304908,9003852
305008,9003212
305108,9002780
305208,9002514
305308,9002358
305406,9002247
305505,9002210
305603,9002190
305702,9002138
305800,9002081
305891,9002045
305991,9002000
306091,9001870
306191,9001506
306291,9000720
306391,8999391
306489,8997853
306588,8996333
306686,8994861
306785,8993594
306882,8992773
306974,8992418
307075,8992286
307175,8992291
307275,8992988
307375,8994686
307474,8997278
307572,9000400
307671,9003742
307769,9007106
307867,9009860
307958,9011737
308058,9012963
308158,9013761
308258,9014050
308358,9013882
308458,9012963
308557,9011373
308655,9009482
308753,9007402
308852,9005514
308950,9004054
309042,9003078
309141,9002602
309241,9002410
309342,9002274
309441,9002183
309541,9002151
309639,9002149
309738,9002147
309836,9002143
309935,9002136
310033,9002121
310125,9002110
310225,9002107
310325,9002100
310425,9002096
310525,9002104
310624,9002109
310722,9002112
310820,9002104
310919,9002086
311017,9002034
311109,9001872
311208,9001596
311309,9001242
311408,9000679
311508,8999670
311608,8998208
311706,8996552
311805,8995190
311903,8994398
312002,8994194
312100,8994479
312192,8995234
312292,8996493
312392,8998260
312491,9000615
312592,9003380
312691,9006082
312789,9008111
312888,9009211
312986,9009588
313084,9009635
313175,9009273
313275,9008398
313376,9007198
313475,9005863
313575,9004578
313675,9003545
313773,9002883
313872,9002555
313970,9002439
314069,9002322
314167,9002210
314258,9002134
314359,9002011
314459,9001690
314558,9000902
314658,8999476
314758,8997750
314856,8995932
314955,8994184
315053,8992716
315152,8991667
315242,8991163
315342,8991154
315442,8991691
315542,8992978
315642,8994864
315742,8997026
315841,8999662
315939,9002680
316038,9005451
316136,9007445
316234,9008821
316326,9009877
316429,9010842
