Timestamp,PressureValue
1707855,9003884
1707955,9004314
1708055,9004307
1708154,9003979
1708252,9003283
1708351,9002273
1708449,9001376
1708548,9000786
1708646,9000357
1708739,9000102
1708839,9000017
1708938,8999996
1709038,8999990
1709138,8999989
1709236,8999981
1709335,8999944
1709433,8999938
1709532,8999912
1709630,8999832
1709728,8999642
1709826,8999169
1709922,8998233
1710021,8996774
1710122,8994908
1710221,8992830
1710319,8990948
1710417,8989729
1710516,8989194
1710614,8989158
1710713,8989629
1710811,8990992
1710905,8993566
1711005,8997149
1711105,9001135
1711205,9004963
1711303,9008355
1711402,9010800
1711500,9012262
1711598,9012995
1711697,9013039
1711795,9012246
1711893,9010634
1711988,9008522
1712088,9006353
1712188,9004567
1712287,9003146
1712386,9002005
1712484,9001097
1712582,9000446
1712681,9000123
1712779,9000046
1712878,9000030
1712976,8999991
1713072,8999904
1713171,8999770
1713271,8999468
1713370,8998794
1713468,8997461
1713567,8995690
1713665,8993846
1713763,8991648
1713856,8989341
1713955,8987499
1714055,8985933
1714155,8984770
1714255,8984339
1714354,8984774
1714452,8986202
1714551,8988285
1714649,8990642
1714747,8993828
1714846,8997750
1714944,9001895
1715038,9006352
1715138,9010203
1715238,9012771
1715338,9014559
1715437,9016637
1715535,9018458
1715633,9019325
1715732,9019222
1715830,9018262
1715928,9016524
1716022,9014132
1716122,9011822
1716222,9010060
1716322,9008499
1716420,9006248
1716519,9003736
1716617,9001594
1716716,8999777
1716814,8998125
1716913,8996434
1717011,8994495
1717109,8992404
1717205,8990430
1717305,8988735
1717405,8987310
1717503,8986576
1717602,8986942
1717700,8987965
1717798,8989367
1717897,8991290
1717995,8994013
1718093,8997280
1718188,9000493
1718288,9003193
1718389,9005478
1718487,9007178
1718586,9007906
1718684,9007940
1718783,9007583
1718881,9006861
1718979,9005758
1719077,9004406
1719172,9003048
1719272,9002033
1719372,9001318
1719471,9000798
1719570,9000484
1719668,9000363
1719767,9000321
1719865,9000287
1719963,9000217
1720062,9000012
1720160,8999713
1720256,8999183
1720355,8998076
1720455,8996390
1720554,8994590
1720652,8992910
1720751,8991678
1720849,8991110
1720948,8991070
1721046,8991526
1721144,8992710
1721239,8994772
1721338,8997707
1721438,9001118
1721538,9004264
1721637,9006825
1721735,9008531
1721833,9009270
1721932,9009482
1722030,9009354
1722129,9008572
1722226,9007048
1722322,9005167
