Timestamp,ECGValue,BPM
1258397,334,65
1258408,326,65
1258418,316,65
1258425,340,65
1258439,321,65
1258443,332,65
1258459,338,65
1258470,320,65
1258478,360,65
1258490,401,65
1258492,490,65
1258509,414,65
1258521,267,65
1258531,334,65
1258541,335,65
1258552,317,65
1258562,346,65
1258572,320,65
1258583,333,65
1258592,340,65
1258592,322,65
1258608,347,65
1258624,333,65
1258626,335,65
1258642,356,65
1258642,333,65
1258665,358,65
1258675,359,65
1258685,350,65
1258693,386,65
1258693,371,65
1258708,391,65
1258726,406,65
1258735,387,65
1258742,411,65
1258757,371,65
1258767,344,65
1258775,340,65
1258788,302,65
1258798,317,65
1258808,309,65
1258819,297,65
1258826,322,65
1258839,298,65
1258849,310,65
1258859,314,65
1258870,295,65
1258876,321,65
1258890,305,65
1258901,303,65
1258909,323,65
1258922,297,65
1258929,320,65
1258942,313,65
1258942,303,65
1258962,330,65
1258973,305,65
1258975,319,65
1258992,329,65
1258992,301,65
1259008,330,65
1259024,313,65
1259033,313,65
1259043,334,65
1259043,308,65
1259065,330,65
1259075,322,65
1259084,314,65
1259093,337,65
1259093,314,65
1259109,331,65
1259126,338,65
1259133,323,65
1259147,347,65
1259157,320,65
1259162,316,65
1259176,335,65
1259189,309,65
1259192,335,65
1259209,326,65
1259209,315,65
1259229,343,65
1259239,318,65
1259250,327,65
1259259,336,65
1259270,313,65
1259281,341,65
1259291,323,65
1259301,334,65
1259308,398,65
1259321,472,65
1259332,428,65
1259342,301,65
1259352,295,65
1259362,345,65
1259373,311,65
1259383,330,65
1259393,339,65
1259403,319,65
1259414,344,65
1259424,331,65
1259435,332,65
1259442,349,65
1259455,328,65
1259465,353,65
1259475,348,65
1259475,339,65
1259493,368,65
1259506,349,65
1259516,371,65
1259525,388,65
1259537,371,65
1259542,404,65
1259557,390,65
1259567,390,65
1259576,390,65
1259588,335,65
1259594,340,65
1259609,320,65
1259619,300,65
1259626,320,65
1259640,294,65
1259650,306,65
1259659,316,65
1259663,289,65
1259675,316,65
1259691,302,65
1259701,300,65
1259708,320,65
1259722,296,65
1259732,317,65
1259742,314,65
1259752,304,65
1259763,329,65
1259774,308,65
1259784,318,65
1259792,328,65
1259792,304,65
1259809,329,65
1259824,316,65
1259835,314,65
1259842,334,65
1259855,305,65
1259863,327,65
1259875,322,65
1259886,307,65
1259892,333,65
1259907,308,65
1259909,318,65
1259925,330,65
1259938,309,65
1259942,334,65
1259959,319,65
1259969,326,65
1259975,343,65
1259990,322,65
1259992,340,65
1260008,325,65
1260020,311,65
1260030,341,65
1260040,318,65
1260042,326,65
1260059,334,65
1260063,312,65
1260076,336,65
1260091,318,65
1260102,318,65
1260109,337,65
1260122,311,65
1260133,331,65
1260143,333,65
1260143,331,65
1260163,446,65
1260175,510,65
1260176,428,65
1260193,275,65
1260193,302,65
1260210,332,65
1260225,315,65
1260226,312,65
1260243,338,65
1260243,310,65
1260266,330,65
1260276,331,65
1260287,316,65
1260297,343,65
1260307,320,65
1260318,334,65
1260326,345,65
1260339,329,65
1260348,358,65
1260359,348,65
1260369,355,65
1260378,384,65
1260389,364,65
1260400,388,65
1260409,388,65
1260419,373,65
1260426,378,65
1260440,334,65
1260441,327,65
1260459,324,65
1260471,293,65
1260481,317,65
1260492,302,65
1260502,300,65
1260509,320,65
1260523,294,65
1260533,317,65
1260541,315,65
1260541,302,65
1260563,327,65
1260575,302,65
1260575,313,65
1260593,322,65
1260605,300,65
1260616,329,65
1260625,313,65
1260633,313,65
1260643,334,65
1260656,304,65
1260663,323,65
1260675,322,65
1260687,305,65
1260692,336,65
1260707,313,65
1260717,322,65
1260726,332,65
1260738,308,65
1260742,336,65
1260758,320,65
1260769,320,65
1260779,337,65
1260790,309,65
1260800,332,65
1260808,332,65
1260821,312,65
1260828,341,65
1260841,318,65
1260841,327,65
1260859,335,65
1260871,316,65
1260882,350,65
1260893,335,65
1260893,336,65
1260908,350,65
1260925,314,65
1260926,336,65
1260941,333,65
1260953,314,65
1260964,343,65
1260974,320,65
1260985,328,65
1260992,338,65
1261006,316,65
1261016,342,65
1261025,328,65
1261036,323,65
1261041,342,65
1261057,325,65
1261067,365,65
1261077,470,66
1261087,518,66
1261093,424,66
1261093,252,66
1261109,326,66
1261126,337,66
1261136,310,66
1261143,337,66
1261158,327,66
1261169,325,66
1261176,345,66
1261184,318,66
1261192,340,66
1261209,336,66
1261209,324,66
1261231,349,66
1261241,332,66
1261242,342,66
1261259,362,66
1261264,341,66
1261276,375,66
1261293,370,66
1261293,376,66
1261310,404,66
1261324,378,66
1261334,392,66
1261342,369,66
1261355,331,66
1261365,339,66
1261375,309,66
