Metodo,Patch,PPG_BPM,ECG_BPM,PPG_iRPM,PRE_iRPM,FS,Tempo,SQI1,SQI2
CHROM,10,52.0834,65.6269,25.3659,12.0,53.479692645444565,10,0.44053871248786547,0.00011671084646569429
CHROM,101,64.6894,65.6269,21.1382,12.0,53.479692645444565,10,0.5005832384518731,4.4725029135779194e-05
CHROM,104,42.2832,65.6269,16.9106,12.0,53.479692645444565,10,0.5282640161956789,5.792023766440419e-05
CHROM,107,66.7047,65.6269,0,12.0,53.479692645444565,10,0.45704905389750417,0.00024967874071025006
CHROM,108,80.2591,65.6269,21.1382,12.0,53.479692645444565,10,0.46932746788189883,4.190116941291719e-05
CHROM,109,47.4599,65.6269,16.9106,12.0,53.479692645444565,10,0.48489770681017397,5.469286589621599e-05
CHROM,135,66.7047,65.6269,12.6829,12.0,53.479692645444565,10,0.5593917884419797,3.263160080746145e-05
CHROM,151,67.1394,65.6269,0,12.0,53.479692645444565,10,0.6101701188762092,5.092184898842279e-05
CHROM,18,40.3074,65.6269,21.1382,12.0,53.479692645444565,10,0.3016218403645461,2.8098830494176008e-05
CHROM,188,66.5862,65.6269,21.1382,12.0,53.479692645444565,10,0.4648972091310337,3.415588599917986e-05
CHROM,199,50.4632,65.6269,16.9106,12.0,53.479692645444565,10,0.4933735904208978,1.574038529415146e-05
CHROM,266,66.0724,65.6269,21.1382,12.0,53.479692645444565,10,0.4339598542238281,4.35903696041147e-05
CHROM,280,41.2162,65.6269,21.1382,12.0,53.479692645444565,10,0.5310691476161479,4.3634956487310094e-05
CHROM,299,71.5258,65.6269,16.9106,12.0,53.479692645444565,10,0.4436708371965694,0.0005314275357854465
CHROM,330,65.6773,65.6269,21.1382,12.0,53.479692645444565,10,0.5626287560553036,0.00040606756429680153
CHROM,333,54.652,65.6269,21.1382,12.0,53.479692645444565,10,0.5440259712166056,1.8095112271068766e-05
CHROM,336,41.8485,65.6269,25.3659,12.0,53.479692645444565,10,0.47364251867565355,8.28384790023789e-05
CHROM,337,66.0329,65.6269,16.9106,12.0,53.479692645444565,10,0.5315868577076001,4.156585663938785e-05
CHROM,338,67.7322,65.6269,21.1382,12.0,53.479692645444565,10,0.3441175683031734,1.2189443619775808e-05
CHROM,347,65.9934,65.6269,16.9106,12.0,53.479692645444565,10,0.5355363376851477,1.2906822962347017e-05
CHROM,36,85.4753,65.6269,25.3659,12.0,53.479692645444565,10,0.4956637110604868,0.0004377821742362282
CHROM,364,50.9769,65.6269,21.1382,12.0,53.479692645444565,10,0.48282155155278794,1.6130966544543657e-05
CHROM,4,66.6652,65.6269,16.9106,12.0,53.479692645444565,10,0.6846511343284785,3.283644091759607e-05
CHROM,50,65.1636,65.6269,21.1382,12.0,53.479692645444565,10,0.5652212619887534,0.0001254185055410146
CHROM,6,66.9813,65.6269,25.3659,12.0,53.479692645444565,10,0.5530898253447046,1.0558486826115086e-05
CHROM,69,57.2206,65.6269,21.1382,12.0,53.479692645444565,10,0.5541108987466647,0.0001130292609122619
CHROM,9,66.5862,65.6269,0,12.0,53.479692645444565,10,0.7219193173381961,4.512147791800364e-05
GBGR,10,65.8749,65.6269,25.3659,12.0,53.479692645444565,10,0.5611138829890596,3.200106951191871e-05
